repo,language,lang_type
3b1b/manim,Python,dynamic
Anduin2017/HowToCook,Dockerfile,other
BurntSushi/ripgrep,Rust,static
Developer-Y/cs-video-courses,,unknown
PKUFlyingPig/cs-self-learning,HTML,other
WerWolv/ImHex,C++,static
base/node,Go,static
codecrafters-io/build-your-own-x,Markdown,other
dair-ai/Prompt-Engineering-Guide,MDX,other
danielmiessler/SecLists,PHP,dynamic
jgraph/drawio-desktop,JavaScript,dynamic
juliangarnier/anime,JavaScript,dynamic
labmlai/annotated_deep_learning_paper_implementations,Python,dynamic
localsend/localsend,Dart,other
lyswhut/lx-music-desktop,TypeScript,static
massgravel/Microsoft-Activation-Scripts,Batchfile,other
mtdvio/every-programmer-should-know,,unknown
ngosang/trackerslist,,unknown
pathwaycom/pathway,Python,dynamic
pocketbase/pocketbase,Go,static
realworld-apps/realworld,TypeScript,static
ryanoasis/nerd-fonts,CSS,other
swisskyrepo/PayloadsAllTheThings,Python,dynamic
ventoy/Ventoy,C,static
