repo,commits_before,commits_after,prs_before,prs_after,issues_before,issues_after
1ucian/1ucian.github.io,11,200,0,85,0,0
BernardinD/PhotoWordFind,146,15,33,84,10,6
CitizensFoundation/your-priorities-app,6830,365,135,142,17,0
DeForestt/aflat,1662,137,233,193,23,0
F2011B/ami2py,26,163,0,83,0,0
Jamesb989/Jamesb989,95,32,0,60,0,0
Kanaries/ml,18,123,0,131,1,2
Loganrdj/portfolio,75,351,2,171,0,0
M45-Science/ChatWire,2322,265,20,106,107,0
MetricsHub/jawk,283,430,136,217,31,2
MrME-CodeSmith/QuoteSwift,9,461,0,237,0,0
Online-Ugyvitel/ddata-core,225,80,61,83,29,56
OpenHFT/Chronicle-Core,2466,64,366,145,298,0
OpenHFT/Chronicle-Logger,445,147,108,62,7,0
OpenHFT/Chronicle-Test-Framework,140,14,41,76,16,0
OpenHFT/Chronicle-Threads,970,44,160,66,104,0
OpenHFT/Chronicle-Values,382,17,33,106,8,0
OpenHFT/Chronicle-Wire,3378,71,545,248,395,1
OpenHFT/JLBH,91,9,43,109,16,0
RadicalZephyr/bitburner-scripts,747,2373,0,248,2,82
Rello/analytics,1216,206,67,100,132,7
TeamEver/everblock,110,1452,3,689,11,2
TeamEver/everpsblog,91,232,0,110,0,0
Ulthran/ctbus_site,392,301,94,106,48,0
Yusukepkl/I.A-Sarah,2,202,0,107,0,0
ZumitoTeam/zumito-bot,347,152,140,91,52,6
adriandarian/Resumier,12,379,10,203,15,265
adrianwedd/personal-intelligence-node,9,362,2,193,0,1
alexanderjeurissen/dotfiles,874,151,10,65,37,1
alexanderthclark/FreeRide,177,226,24,133,1,0
anirul/Frame,485,406,38,103,3,0
anke-hao/anke-hao.github.io,54,2,0,63,0,5
antoniojbt/episcout,143,332,5,119,12,11
aoinakanishi/aoinakanishi.github.io,0,139,0,79,0,0
arran4/dotfiles,462,460,5,180,21,0
bararchy/shainet,310,500,0,376,0,0
bastelix/calserver-docu,5,162,0,97,0,0
bbuchsbaum/bidser,108,135,3,57,2,0
bbuchsbaum/fmrireg,448,442,0,174,4,0
bbuchsbaum/neurosurf,124,124,2,60,0,0
bbuchsbaum/rMVPA,663,175,1,51,1,0
blalterman/SolarWindPy,537,815,27,237,13,96
bozelosp/remod,54,224,1,119,0,0
braboj/tutorial-python,287,257,21,81,28,5
bradgrimm/bradgrimm.github.io,8,161,0,71,0,0
cjkrolak/ThermostatSupervisor,1547,365,468,170,479,99
dBinet/SquirrelAttack,0,0,0,142,0,0
dann3wman/star_trader,65,119,0,62,0,0
dcocchia/Ity,24,109,1,52,0,0
diegozea/MIToS.jl,945,158,40,102,41,8
edinsoncs/suni-coin,8,257,18,128,0,0
eisnerw/jhipster-sample-app-dotnetcore,154,506,1,184,0,0
grainier/siddhi,2450,253,0,120,0,0
jdereg/java-util,1234,811,93,241,5,0
jdereg/json-io,1800,443,179,115,38,5
jorgesanabria/DBAL,9,344,0,168,0,0
jremillard/osmmapmaker,39,310,1,134,3,0
lawrencerowland/lawrencerowland.github.io,133,199,14,97,0,0
lisu188/fall-of-nouraajd,1115,65,4,89,0,0
lisu188/spotify-web-api-demo,98,74,1,80,0,0
makhin/PhotoBank,107,2373,1,974,5,0
nate-d-olson/hap.py,540,0,4,76,7,3
noperson83/WBee-appware,0,625,0,318,0,0
ofarukkalkan/PowerGL,65,137,0,67,3,3
ohhmm/openmind,1125,124,583,300,76,24
pdfme/pdfme,750,164,251,495,185,16
piotr-gorczynski/Soccer,729,1469,0,726,41,317
ravenoak/card-identifier,15,61,5,63,0,0
rjmurillo/moq.analyzers,150,148,342,341,57,126
rokyed/canvas-dot,6,137,0,67,0,0
seasonedcc/remix-forms,566,176,134,79,65,3
shefben/foxbot,103,103,0,54,0,0
shinnku-nikaidou/shinnku-com,531,320,131,82,6,1
spadrapo/docs,191,66,53,71,17,70
stanford-crfm/levanter,1367,238,717,252,186,18
supermarsx/smtp-burst,0,387,0,184,0,1
supermarsx/whoisdigger,3,1499,81,802,2,0
swiftdog2/FlashEditor,25,144,2,7,0,0
triblespace/tribles-rust,579,942,0,311,9,0
wieslawsoltes/Dock,2470,1183,187,482,55,18
wieslawsoltes/Svg.Skia,3155,216,96,118,23,2
