,month,n_repos_before,mean_before,median_before,p25_before,p75_before,variance_before,std_before,n_repos_after,mean_after,median_after,p25_after,p75_after,variance_after,std_after
0,2010-09,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
1,2012-07,1.0000,25.0000,25.0000,25.0000,25.0000,,,,,,,,,
2,2012-08,1.0000,2.0000,2.0000,2.0000,2.0000,,,,,,,,,
3,2013-09,2.0000,85.0000,85.0000,61.0000,109.0000,4608.0000,67.8823,,,,,,,
4,2013-10,2.0000,2.5000,2.5000,1.7500,3.2500,4.5000,2.1213,,,,,,,
5,2013-11,2.0000,40.5000,40.5000,30.7500,50.2500,760.5000,27.5772,,,,,,,
6,2013-12,2.0000,73.5000,73.5000,54.7500,92.2500,2812.5000,53.0330,,,,,,,
7,2014-01,2.0000,35.5000,35.5000,27.7500,43.2500,480.5000,21.9203,,,,,,,
8,2014-02,2.0000,29.5000,29.5000,29.2500,29.7500,0.5000,0.7071,,,,,,,
9,2014-03,2.0000,14.0000,14.0000,13.0000,15.0000,8.0000,2.8284,,,,,,,
10,2014-04,4.0000,14.0000,7.0000,2.7500,18.2500,316.6667,17.7951,,,,,,,
11,2014-05,4.0000,7.7500,3.5000,1.7500,9.5000,106.2500,10.3078,,,,,,,
12,2014-06,1.0000,19.0000,19.0000,19.0000,19.0000,,,,,,,,,
13,2014-07,2.0000,6.5000,6.5000,4.7500,8.2500,24.5000,4.9497,,,,,,,
14,2014-08,2.0000,7.5000,7.5000,5.2500,9.7500,40.5000,6.3640,,,,,,,
15,2014-09,1.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,
16,2014-10,1.0000,4.0000,4.0000,4.0000,4.0000,,,,,,,,,
17,2014-11,2.0000,32.5000,32.5000,26.2500,38.7500,312.5000,17.6777,,,,,,,
18,2014-12,2.0000,12.0000,12.0000,10.0000,14.0000,32.0000,5.6569,,,,,,,
19,2015-01,2.0000,33.5000,33.5000,23.2500,43.7500,840.5000,28.9914,,,,,,,
20,2015-02,3.0000,26.0000,34.0000,18.0000,38.0000,448.0000,21.1660,,,,,,,
21,2015-03,3.0000,22.6667,17.0000,14.5000,28.0000,206.3333,14.3643,,,,,,,
22,2015-04,3.0000,10.0000,10.0000,7.5000,12.5000,25.0000,5.0000,,,,,,,
23,2015-05,3.0000,15.3333,13.0000,11.0000,18.5000,60.3333,7.7675,,,,,,,
24,2015-06,4.0000,17.7500,13.5000,8.2500,23.0000,272.9167,16.5202,,,,,,,
