,month,n_repos_before,mean_before,median_before,p25_before,p75_before,variance_before,std_before,n_repos_after,mean_after,median_after,p25_after,p75_after,variance_after,std_after
0,2013-12,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
1,2014-02,1.0000,2.0000,2.0000,2.0000,2.0000,,,,,,,,,
2,2014-03,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
3,2014-04,2.0000,2.0000,2.0000,1.5000,2.5000,2.0000,1.4142,,,,,,,
4,2014-05,1.0000,4.0000,4.0000,4.0000,4.0000,,,,,,,,,
5,2014-06,1.0000,2.0000,2.0000,2.0000,2.0000,,,,,,,,,
6,2014-07,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
7,2014-11,2.0000,4.5000,4.5000,4.2500,4.7500,0.5000,0.7071,,,,,,,
8,2014-12,1.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,
9,2015-01,1.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,
10,2015-02,1.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,
11,2015-03,2.0000,2.5000,2.5000,2.2500,2.7500,0.5000,0.7071,,,,,,,
12,2015-04,3.0000,1.3333,1.0000,1.0000,1.5000,0.3333,0.5774,,,,,,,
13,2015-05,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
14,2015-06,2.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,,,,,,,
15,2015-07,1.0000,5.0000,5.0000,5.0000,5.0000,,,,,,,,,
16,2015-08,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
17,2015-09,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
18,2015-10,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
19,2015-11,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
20,2015-12,1.0000,5.0000,5.0000,5.0000,5.0000,,,,,,,,,
21,2016-02,2.0000,2.5000,2.5000,1.7500,3.2500,4.5000,2.1213,,,,,,,
22,2016-03,2.0000,4.5000,4.5000,4.2500,4.7500,0.5000,0.7071,,,,,,,
23,2016-04,2.0000,1.5000,1.5000,1.2500,1.7500,0.5000,0.7071,,,,,,,
24,2016-05,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
25,2016-06,1.0000,9.0000,9.0000,9.0000,9.0000,,,,,,,,,
26,2016-07,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
27,2016-08,1.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,
28,2016-09,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
29,2016-10,2.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,,,,,,,
30,2016-11,3.0000,2.0000,2.0000,1.5000,2.5000,1.0000,1.0000,,,,,,,
31,2016-12,2.0000,3.5000,3.5000,2.7500,4.2500,4.5000,2.1213,,,,,,,
32,2017-01,2.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,,,,,,,
33,2017-02,1.0000,2.0000,2.0000,2.0000,2.0000,,,,,,,,,
34,2017-04,2.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,,,,,,,
35,2017-05,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
36,2017-06,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
37,2017-07,1.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,
38,2017-08,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
39,2017-09,3.0000,1.6667,2.0000,1.5000,2.0000,0.3333,0.5774,,,,,,,
40,2017-10,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
41,2017-12,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
42,2018-02,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
43,2018-04,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
44,2018-05,1.0000,13.0000,13.0000,13.0000,13.0000,,,,,,,,,
45,2018-06,2.0000,7.5000,7.5000,4.7500,10.2500,60.5000,7.7782,,,,,,,
46,2018-07,1.0000,24.0000,24.0000,24.0000,24.0000,,,,,,,,,
47,2018-08,2.0000,2.5000,2.5000,1.7500,3.2500,4.5000,2.1213,,,,,,,
48,2018-09,2.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,,,,,,,
49,2018-10,2.0000,3.0000,3.0000,2.0000,4.0000,8.0000,2.8284,,,,,,,
50,2018-11,1.0000,2.0000,2.0000,2.0000,2.0000,,,,,,,,,
51,2018-12,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,
52,2019-02,4.0000,1.2500,1.0000,1.0000,1.2500,0.2500,0.5000,,,,,,,
53,2019-03,2.0000,1.5000,1.5000,1.2500,1.7500,0.5000,0.7071,,,,,,,
54,2019-04,2.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,,,,,,,
55,2019-08,2.0000,6.5000,6.5000,3.7500,9.2500,60.5000,7.7782,,,,,,,
56,2019-09,2.0000,4.5000,4.5000,2.7500,6.2500,24.5000,4.9497,,,,,,,
57,2019-10,3.0000,2.6667,1.0000,1.0000,3.5000,8.3333,2.8868,,,,,,,
58,2019-11,2.0000,2.0000,2.0000,1.5000,2.5000,2.0000,1.4142,,,,,,,
59,2019-12,3.0000,2.0000,1.0000,1.0000,2.5000,3.0000,1.7321,,,,,,,
60,2020-01,2.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,,,,,,,
61,2020-02,4.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,,,,,,,
62,2020-03,1.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,
63,2020-04,4.0000,3.7500,4.0000,1.7500,6.0000,6.9167,2.6300,,,,,,,
64,2020-05,2.0000,1.5000,1.5000,1.2500,1.7500,0.5000,0.7071,,,,,,,
65,2020-06,2.0000,1.5000,1.5000,1.2500,1.7500,0.5000,0.7071,,,,,,,
66,2020-07,4.0000,2.2500,2.5000,1.7500,3.0000,0.9167,0.9574,,,,,,,
67,2020-08,4.0000,1.7500,1.0000,1.0000,1.7500,2.2500,1.5000,,,,,,,
68,2020-09,3.0000,2.3333,2.0000,1.5000,3.0000,2.3333,1.5275,,,,,,,
69,2020-10,4.0000,1.7500,1.0000,1.0000,1.7500,2.2500,1.5000,,,,,,,
70,2020-11,2.0000,1.5000,1.5000,1.2500,1.7500,0.5000,0.7071,,,,,,,
71,2020-12,5.0000,1.6000,1.0000,1.0000,1.0000,1.8000,1.3416,,,,,,,
72,2021-01,2.0000,2.5000,2.5000,1.7500,3.2500,4.5000,2.1213,,,,,,,
73,2021-02,4.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,,,,,,,
74,2021-03,3.0000,1.3333,1.0000,1.0000,1.5000,0.3333,0.5774,,,,,,,
75,2021-04,3.0000,1.6667,1.0000,1.0000,2.0000,1.3333,1.1547,,,,,,,
76,2021-05,4.0000,2.5000,2.5000,1.7500,3.2500,1.6667,1.2910,,,,,,,
77,2021-06,2.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,,,,,,,
78,2021-07,4.0000,2.5000,2.0000,1.0000,3.5000,3.6667,1.9149,,,,,,,
79,2021-08,5.0000,1.4000,1.0000,1.0000,2.0000,0.3000,0.5477,,,,,,,
80,2021-09,6.0000,2.1667,1.0000,1.0000,1.7500,5.7667,2.4014,,,,,,,
81,2021-10,5.0000,3.2000,1.0000,1.0000,3.0000,15.2000,3.8987,,,,,,,
82,2021-11,4.0000,3.2500,2.0000,1.0000,4.2500,10.9167,3.3040,,,,,,,
83,2021-12,6.0000,5.5000,3.5000,1.0000,7.5000,35.5000,5.9582,,,,,,,
84,2022-01,4.0000,6.0000,4.0000,2.7500,7.2500,30.0000,5.4772,,,,,,,
85,2022-02,3.0000,2.3333,2.0000,1.5000,3.0000,2.3333,1.5275,,,,,,,
86,2022-03,4.0000,3.0000,2.0000,1.0000,4.0000,8.0000,2.8284,,,,,,,
87,2022-04,2.0000,7.0000,7.0000,4.0000,10.0000,72.0000,8.4853,,,,,,,
88,2022-05,3.0000,2.6667,1.0000,1.0000,3.5000,8.3333,2.8868,,,,,,,
89,2022-06,2.0000,10.5000,10.5000,6.7500,14.2500,112.5000,10.6066,,,,,,,
90,2022-07,3.0000,2.3333,1.0000,1.0000,3.0000,5.3333,2.3094,,,,,,,
91,2022-08,3.0000,2.3333,2.0000,1.5000,3.0000,2.3333,1.5275,,,,,,,
92,2022-09,2.0000,3.5000,3.5000,3.2500,3.7500,0.5000,0.7071,,,,,,,
93,2022-10,4.0000,3.5000,3.0000,2.7500,3.7500,3.0000,1.7321,,,,,,,
94,2022-11,5.0000,4.0000,3.0000,2.0000,5.0000,10.0000,3.1623,,,,,,,
95,2022-12,6.0000,2.5000,3.0000,1.5000,3.0000,1.5000,1.2247,,,,,,,
96,2023-01,4.0000,3.0000,2.5000,1.7500,3.7500,4.6667,2.1602,,,,,,,
97,2023-02,5.0000,4.2000,2.0000,1.0000,8.0000,15.7000,3.9623,,,,,,,
98,2023-03,4.0000,4.5000,4.0000,1.7500,6.7500,13.6667,3.6968,,,,,,,
99,2023-04,3.0000,2.3333,3.0000,2.0000,3.0000,1.3333,1.1547,,,,,,,
100,2023-05,6.0000,4.0000,2.0000,1.0000,3.0000,30.0000,5.4772,,,,,,,
101,2023-06,4.0000,6.0000,1.5000,1.0000,6.5000,87.3333,9.3452,,,,,,,
102,2023-07,5.0000,6.2000,3.0000,3.0000,8.0000,36.7000,6.0581,,,,,,,
103,2023-08,5.0000,7.2000,3.0000,2.0000,9.0000,59.7000,7.7266,,,,,,,
104,2023-09,7.0000,3.0000,2.0000,1.0000,4.5000,5.6667,2.3805,,,,,,,
105,2023-10,6.0000,5.6667,2.5000,1.2500,9.7500,38.2667,6.1860,,,,,,,
106,2023-11,7.0000,9.2857,3.0000,1.5000,7.0000,246.2381,15.6920,,,,,,,
107,2023-12,6.0000,7.3333,4.5000,2.5000,8.7500,53.4667,7.3121,,,,,,,
