repo,commits,prs_created,prs_merged,reviews_submitted,review_comments,issues_opened,issues_closed,reviews_per_pr,issues_per_commit,issue_close_rate,pr_merge_rate,review_comment_rate,period
Loganrdj/portfolio,75,2,1,0,0,0,0,0.0,0.0,0.0,0.5,0.0,before
MetricsHub/jawk,283,136,98,15,15,31,26,0.11029411764705882,0.10954063604240283,0.8387096774193549,0.7205882352941176,1.0,before
MrME-CodeSmith/QuoteSwift,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,before
OpenHFT/Chronicle-Core,2466,366,335,655,655,298,291,1.789617486338798,0.12084347120843471,0.9765100671140939,0.9153005464480874,1.0,before
OpenHFT/JLBH,91,43,39,59,59,16,15,1.372093023255814,0.17582417582417584,0.9375,0.9069767441860465,1.0,before
RadicalZephyr/bitburner-scripts,747,0,0,0,0,2,1,0.0,0.002677376171352075,0.5,0.0,0.0,before
TeamEver/everblock,110,3,3,0,0,11,10,0.0,0.1,0.9090909090909091,1.0,0.0,before
Yusukepkl/I.A-Sarah,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,before
adrianwedd/personal-intelligence-node,9,2,2,0,0,0,0,0.0,0.0,0.0,1.0,0.0,before
alexanderthclark/FreeRide,177,24,20,0,0,1,0,0.0,0.005649717514124294,0.0,0.8333333333333334,0.0,before
arran4/dotfiles,462,5,5,0,0,21,2,0.0,0.045454545454545456,0.09523809523809523,1.0,0.0,before
bararchy/shainet,310,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,before
bbuchsbaum/fmrireg,448,0,0,0,0,4,0,0.0,0.008928571428571428,0.0,0.0,0.0,before
bozelosp/remod,54,1,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,before
edinsoncs/suni-coin,8,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,before
jdereg/java-util,1234,93,76,3,3,5,5,0.03225806451612903,0.004051863857374392,1.0,0.8172043010752689,1.0,before
jdereg/json-io,1800,179,156,29,29,38,37,0.16201117318435754,0.021111111111111112,0.9736842105263158,0.8715083798882681,1.0,before
jorgesanabria/DBAL,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,before
jremillard/osmmapmaker,39,1,0,0,0,3,0,0.0,0.07692307692307693,0.0,0.0,0.0,before
