repo,pr_number,before,after
MetricsHub/jawk,13,1.0,
MetricsHub/jawk,45,1.0,
MetricsHub/jawk,50,1.0,
MetricsHub/jawk,53,1.0,
MetricsHub/jawk,54,1.0,
MetricsHub/jawk,57,1.0,
MetricsHub/jawk,65,1.0,
MetricsHub/jawk,66,1.0,
MetricsHub/jawk,112,1.0,
MetricsHub/jawk,137,2.0,
MetricsHub/jawk,140,1.0,
MetricsHub/jawk,166,1.0,
MetricsHub/jawk,167,1.0,
MetricsHub/jawk,168,1.0,
OpenHFT/Chronicle-Core,23,2.0,
OpenHFT/Chronicle-Core,30,1.0,
OpenHFT/Chronicle-Core,37,7.0,
OpenHFT/Chronicle-Core,39,1.0,
OpenHFT/Chronicle-Core,41,5.0,
OpenHFT/Chronicle-Core,69,1.0,
OpenHFT/Chronicle-Core,238,2.0,
OpenHFT/Chronicle-Core,239,1.0,
OpenHFT/Chronicle-Core,240,2.0,
OpenHFT/Chronicle-Core,241,1.0,
OpenHFT/Chronicle-Core,247,1.0,
OpenHFT/Chronicle-Core,248,3.0,
OpenHFT/Chronicle-Core,252,1.0,
OpenHFT/Chronicle-Core,255,1.0,
OpenHFT/Chronicle-Core,258,4.0,
OpenHFT/Chronicle-Core,260,1.0,
OpenHFT/Chronicle-Core,261,6.0,
OpenHFT/Chronicle-Core,262,1.0,
OpenHFT/Chronicle-Core,263,1.0,
OpenHFT/Chronicle-Core,267,1.0,
OpenHFT/Chronicle-Core,269,1.0,
OpenHFT/Chronicle-Core,272,1.0,
OpenHFT/Chronicle-Core,275,1.0,
OpenHFT/Chronicle-Core,276,1.0,
OpenHFT/Chronicle-Core,277,1.0,
OpenHFT/Chronicle-Core,279,2.0,
OpenHFT/Chronicle-Core,280,1.0,
OpenHFT/Chronicle-Core,284,1.0,
OpenHFT/Chronicle-Core,286,7.0,
OpenHFT/Chronicle-Core,288,8.0,
OpenHFT/Chronicle-Core,290,8.0,
OpenHFT/Chronicle-Core,292,6.0,
OpenHFT/Chronicle-Core,295,3.0,
