text,date,clean,time,topic_id,topic_label,group
The problem appears to be the OS oversleeping. I have added code to detect this.  Can you update and see if this addresses the issue? (It does on my Win 10),2017-05-30 10:08:44+00:00,the problem appears to be the os oversleeping i have added code to detect this can you update and see if this addresses the issue it does on my win 10,2017-05-30 10:08:44+00:00,6,Documentation & Communication,before
"Thanks for the patch; as we add new functionality, I'd like to make sure that unit tests are in place that cover both the pre- and post-java9 code paths.
Otherwise, looks good.",2017-08-31 08:08:03+00:00,thanks for the patch as we add new functionality i d like to make sure that unit tests are in place that cover both the pre and post java9 code paths otherwise looks good,2017-08-31 08:08:03+00:00,1,Feature Development,before
Failing test when run on java8,2017-08-31 10:21:44+00:00,failing test when run on java8,2017-08-31 10:21:44+00:00,3,Build / Tooling / DevOps,before
Great!,2018-05-30 18:45:50+00:00,great,2018-05-30 18:45:50+00:00,0,Bug Fixing & Debugging,before
LGTM,2018-06-05 17:27:46+00:00,lgtm,2018-06-05 17:27:46+00:00,0,Bug Fixing & Debugging,before
LGTM,2018-06-05 17:28:28+00:00,lgtm,2018-06-05 17:28:28+00:00,0,Bug Fixing & Debugging,before
"LGTM and AvalonStudio still works, what was the issue this fixed?",2019-03-23 02:23:08+00:00,lgtm and avalonstudio still works what was the issue this fixed,2019-03-23 02:23:08+00:00,0,Bug Fixing & Debugging,before
Avalonia.Desktop needs to be updated too.,2019-10-01 16:24:37+00:00,avalonia desktop needs to be updated too,2019-10-01 16:24:37+00:00,0,Bug Fixing & Debugging,before
"I'll change just a couple of minor things to clean up a bit, as for the code looks ok for me.",2019-11-18 21:11:45+00:00,i ll change just a couple of minor things to clean up a bit as for the code looks ok for me,2019-11-18 21:11:45+00:00,6,Documentation & Communication,before
nice,2019-12-16 09:51:20+00:00,nice,2019-12-16 09:51:20+00:00,0,Bug Fixing & Debugging,before
Nice one!,2021-10-19 22:53:02+00:00,nice one,2021-10-19 22:53:02+00:00,0,Bug Fixing & Debugging,before
Looks good to me,2021-10-26 10:01:19+00:00,looks good to me,2021-10-26 10:01:19+00:00,0,Bug Fixing & Debugging,before
excellent,2021-11-05 02:39:10+00:00,excellent,2021-11-05 02:39:10+00:00,0,Bug Fixing & Debugging,before
"the expression simplification (!(d <= WHOLE_NUMBER / factor)) changes behaviour

The rest of the changes look OK but I don't think there is value in going after Sonar minor warnings",2021-12-15 00:07:38+00:00,the expression simplification d whole number factor changes behaviour the rest of the changes look ok but i don t think there is value in going after sonar minor warnings,2021-12-15 00:07:38+00:00,6,Documentation & Communication,before
Begrudgingly approving ;),2021-12-21 20:23:48+00:00,begrudgingly approving,2021-12-21 20:23:48+00:00,0,Bug Fixing & Debugging,before
please document that this library IS NOT thread-safe!,2021-12-23 08:44:32+00:00,please document that this library is not thread safe,2021-12-23 08:44:32+00:00,0,Bug Fixing & Debugging,before
Agree we should deprecate but don't we normally remove in current + 2 i.e. x.24?,2022-01-03 22:16:00+00:00,agree we should deprecate but don t we normally remove in current 2 i e x 24,2022-01-03 22:16:00+00:00,0,Bug Fixing & Debugging,before
"I can see the reasoning behind this, but it does concern me that we will most likely just ignore this exception and leave the resources open when it's thrown because we always use `closeQuietly`. I wonder if this is the correct approach?

It feels like it could end up being the source of flakiness or bugs.",2022-01-05 22:55:19+00:00,i can see the reasoning behind this but it does concern me that we will most likely just ignore this exception and leave the resources open when it s thrown because we always use i wonder if this is the correct approach it feels like it could end up being the source of flakiness or bugs,2022-01-05 22:55:19+00:00,6,Documentation & Communication,before
Sounds reasonable but would want @peter-lawrey to sign off too,2022-03-25 07:49:07+00:00,sounds reasonable but would want peter lawrey to sign off too,2022-03-25 07:49:07+00:00,0,Bug Fixing & Debugging,before
Smallest PR ever?,2022-04-13 07:14:33+00:00,smallest pr ever,2022-04-13 07:14:33+00:00,5,Testing & CI,before
"Generally, we should move logger functionality from the Jvm class. It has nothing to do with the JVM and is a separate concern.",2022-04-20 06:59:38+00:00,generally we should move logger functionality from the jvm class it has nothing to do with the jvm and is a separate concern,2022-04-20 06:59:38+00:00,1,Feature Development,before
"My opinions on re-ordering code without good reason are well known, but I'd make a reluctant approval on this because it's only POM files and we rarely need to do archaeology/cherry-picks on them.",2022-05-10 02:02:10+00:00,my opinions on re ordering code without good reason are well known but i d make a reluctant approval on this because it s only pom files and we rarely need to do archaeology on them,2022-05-10 02:02:10+00:00,6,Documentation & Communication,before
I think we need a bit more detail - will PM you,2022-05-31 22:17:10+00:00,i think we need a bit more detail will pm you,2022-05-31 22:17:10+00:00,0,Bug Fixing & Debugging,before
approved but please take a look at the comments!,2022-06-10 06:16:32+00:00,approved but please take a look at the comments,2022-06-10 06:16:32+00:00,4,UI / UX,before
perfect!,2022-06-20 07:32:29+00:00,perfect,2022-06-20 07:32:29+00:00,0,Bug Fixing & Debugging,before
Great!,2022-06-21 22:32:03+00:00,great,2022-06-21 22:32:03+00:00,0,Bug Fixing & Debugging,before
please check the mac build,2022-07-25 09:36:07+00:00,please check the mac build,2022-07-25 09:36:07+00:00,2,Refactoring & Cleanup,before
failing on mac,2022-07-25 09:36:41+00:00,failing on mac,2022-07-25 09:36:41+00:00,0,Bug Fixing & Debugging,before
