text,date,time,group,neg,neu,pos,compound,sentiment_cat
,2016-12-01 16:01:39+00:00,2016-12-01 16:01:39+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-12-01 16:22:14+00:00,2016-12-01 16:22:14+00:00,before,0.0,0.0,0.0,0.0,neutral
,2016-12-16 16:18:49+00:00,2016-12-16 16:18:49+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-01-03 21:04:46+00:00,2017-01-03 21:04:46+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-01-04 00:10:45+00:00,2017-01-04 00:10:45+00:00,before,0.0,0.0,0.0,0.0,neutral
The problem appears to be the OS oversleeping. I have added code to detect this.  Can you update and see if this addresses the issue? (It does on my Win 10),2017-05-30 10:08:44+00:00,2017-05-30 10:08:44+00:00,before,0.076,0.817,0.107,0.2732,positive
"Thanks for the patch; as we add new functionality, I'd like to make sure that unit tests are in place that cover both the pre- and post-java9 code paths.
Otherwise, looks good.",2017-08-31 08:08:03+00:00,2017-08-31 08:08:03+00:00,before,0.0,0.725,0.275,0.8625,positive
,2017-08-31 08:21:36+00:00,2017-08-31 08:21:36+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-08-31 08:53:22+00:00,2017-08-31 08:53:22+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-08-31 09:28:22+00:00,2017-08-31 09:28:22+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-08-31 09:47:42+00:00,2017-08-31 09:47:42+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-08-31 10:21:26+00:00,2017-08-31 10:21:26+00:00,before,0.0,0.0,0.0,0.0,neutral
Failing test when run on java8,2017-08-31 10:21:44+00:00,2017-08-31 10:21:44+00:00,before,0.398,0.602,0.0,-0.5106,negative
,2017-09-19 18:49:29+00:00,2017-09-19 18:49:29+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-09-28 19:31:55+00:00,2017-09-28 19:31:55+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-10-10 06:18:03+00:00,2017-10-10 06:18:03+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-10-10 07:06:44+00:00,2017-10-10 07:06:44+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-10-10 07:12:35+00:00,2017-10-10 07:12:35+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-10-10 11:05:09+00:00,2017-10-10 11:05:09+00:00,before,0.0,0.0,0.0,0.0,neutral
,2017-10-10 11:08:47+00:00,2017-10-10 11:08:47+00:00,before,0.0,0.0,0.0,0.0,neutral
,2018-01-02 16:08:32+00:00,2018-01-02 16:08:32+00:00,before,0.0,0.0,0.0,0.0,neutral
,2018-05-28 21:49:48+00:00,2018-05-28 21:49:48+00:00,before,0.0,0.0,0.0,0.0,neutral
,2018-05-30 15:31:40+00:00,2018-05-30 15:31:40+00:00,before,0.0,0.0,0.0,0.0,neutral
,2018-05-30 16:21:35+00:00,2018-05-30 16:21:35+00:00,before,0.0,0.0,0.0,0.0,neutral
Great!,2018-05-30 18:45:50+00:00,2018-05-30 18:45:50+00:00,before,0.0,0.0,1.0,0.6588,positive
,2018-05-30 18:46:21+00:00,2018-05-30 18:46:21+00:00,before,0.0,0.0,0.0,0.0,neutral
LGTM,2018-06-05 17:27:46+00:00,2018-06-05 17:27:46+00:00,before,0.0,1.0,0.0,0.0,neutral
LGTM,2018-06-05 17:28:28+00:00,2018-06-05 17:28:28+00:00,before,0.0,1.0,0.0,0.0,neutral
,2018-06-06 09:58:04+00:00,2018-06-06 09:58:04+00:00,before,0.0,0.0,0.0,0.0,neutral
,2018-06-07 20:15:35+00:00,2018-06-07 20:15:35+00:00,before,0.0,0.0,0.0,0.0,neutral
