text_type,doc_id,group,top1_topic,top1_weight,top2_topic,top2_weight,margin
commit_messages,0,before,Feature Development,0.1490641,Refactoring & Cleanup,0.14487648,0.004187620000000003
commit_messages,1,before,Deployment,0.16627972,Documentation & Communication,0.15050326,0.015776459999999992
commit_messages,2,before,Refactoring & Cleanup,0.1745305,UI / UX,0.16848849,0.006042010000000014
commit_messages,3,before,Refactoring & Cleanup,0.15937105,Bug Fixing & Debugging,0.15835185,0.0010191999999999979
commit_messages,8,before,Documentation & Communication,0.17087701,Refactoring & Cleanup,0.16018248,0.010694530000000008
commit_messages,9,before,Bug Fixing & Debugging,0.14056219,UI / UX,0.13539492,0.005167270000000002
commit_messages,12,before,Feature Development,0.14225629,Refactoring & Cleanup,0.13686599,0.0053903000000000145
commit_messages,14,before,Deployment,0.1662873,Bug Fixing & Debugging,0.15427965,0.012007650000000009
commit_messages,15,before,Refactoring & Cleanup,0.16849963,Testing & CI,0.15624146,0.012258170000000013
commit_messages,16,before,Deployment,0.15471563,Refactoring & Cleanup,0.14213172,0.012583910000000004
commit_messages,22,before,Bug Fixing & Debugging,0.15327212,Documentation & Communication,0.14745541,0.005816710000000003
commit_messages,23,before,Refactoring & Cleanup,0.16394864,Code Review & Collaboration,0.16327016,0.0006784800000000091
commit_messages,25,before,Refactoring & Cleanup,0.15666674,Documentation & Communication,0.1537694,0.0028973399999999983
commit_messages,27,before,Feature Development,0.14722747,Refactoring & Cleanup,0.14516467,0.0020628000000000035
commit_messages,31,before,Documentation & Communication,0.17045146,Feature Development,0.15746848,0.012982980000000005
commit_messages,38,before,Documentation & Communication,0.15886529,Deployment,0.15644889,0.0024163999999999852
commit_messages,39,before,Documentation & Communication,0.23350468,Deployment,0.22114392,0.012360759999999998
commit_messages,40,before,Refactoring & Cleanup,0.1518587,Documentation & Communication,0.14471431,0.0071443900000000005
commit_messages,42,before,Code Review & Collaboration,0.16359147,Bug Fixing & Debugging,0.14608496,0.017506509999999975
commit_messages,43,before,Testing & CI,0.14490613,Deployment,0.14272088,0.0021852499999999997
commit_messages,44,before,Testing & CI,0.14490613,Deployment,0.14272088,0.0021852499999999997
commit_messages,50,before,Bug Fixing & Debugging,0.15864232,Deployment,0.1535639,0.00507842
commit_messages,51,before,Bug Fixing & Debugging,0.15864232,Deployment,0.1535639,0.00507842
commit_messages,52,before,Bug Fixing & Debugging,0.15864232,Deployment,0.1535639,0.00507842
commit_messages,56,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,57,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,59,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,60,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,62,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,63,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,65,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,66,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,68,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,70,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,72,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,74,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,75,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,77,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,79,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,81,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,83,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,85,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,87,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,88,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,89,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,91,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,92,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,94,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,95,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,97,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,98,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,99,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,101,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,102,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,104,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,105,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,106,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,108,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,109,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,110,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,112,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,113,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,114,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,116,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,117,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,119,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,120,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,122,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,123,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,125,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,126,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,128,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,129,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,131,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,132,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,134,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,135,before,Documentation & Communication,0.14618047,Deployment,0.14531073,0.0008697400000000077
commit_messages,137,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,138,before,Documentation & Communication,0.1613439,Deployment,0.15008758,0.011256320000000014
commit_messages,139,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,140,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,141,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,142,before,Testing & CI,0.16139984,Code Review & Collaboration,0.1564691,0.004930739999999989
commit_messages,144,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,145,before,Documentation & Communication,0.23350468,Deployment,0.22114392,0.012360759999999998
commit_messages,147,before,Documentation & Communication,0.16307496,UI / UX,0.15407139,0.009003569999999989
commit_messages,149,before,Feature Development,0.14856166,Testing & CI,0.14746049,0.0011011700000000124
commit_messages,159,before,Refactoring & Cleanup,0.17912495,Bug Fixing & Debugging,0.16676585,0.012359100000000012
commit_messages,160,before,Refactoring & Cleanup,0.18393275,Bug Fixing & Debugging,0.16865122,0.015281530000000015
commit_messages,162,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,163,before,Deployment,0.17854187,Documentation & Communication,0.16771272,0.010829149999999982
commit_messages,165,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
commit_messages,167,before,Documentation & Communication,0.23350468,Deployment,0.22114392,0.012360759999999998
commit_messages,168,before,Documentation & Communication,0.23350468,Deployment,0.22114392,0.012360759999999998
commit_messages,169,before,Documentation & Communication,0.23350468,Deployment,0.22114392,0.012360759999999998
commit_messages,175,before,Deployment,0.19693878,Testing & CI,0.1808212,0.01611758000000002
