text,date,clean,time,topic_label,w_feature_development,w_ui___ux,w_bug_fixing_and_debugging,w_testing_and_ci,w_refactoring_and_cleanup,w_documentation_and_communication,w_deployment,w_code_review_and_collaboration,group,emoji_count,emoji_density
The problem appears to be the OS oversleeping. I have added code to detect this.  Can you update and see if this addresses the issue? (It does on my Win 10),2017-05-30 10:08:44+00:00,the problem appears to be the os oversleeping i have added code to detect this can you update and see if this addresses the issue it does on my win 10,2017-05-30 10:08:44+00:00,Bug Fixing & Debugging,0.11058008,0.13447191,0.17221159,0.13380541,0.1040809,0.10460001,0.11482148,0.12542862,before,0,0.0
"Thanks for the patch; as we add new functionality, I'd like to make sure that unit tests are in place that cover both the pre- and post-java9 code paths.
Otherwise, looks good.",2017-08-31 08:08:03+00:00,thanks for the patch as we add new functionality i d like to make sure that unit tests are in place that cover both the pre and post java9 code paths otherwise looks good,2017-08-31 08:08:03+00:00,Testing & CI,0.106947996,0.101271085,0.10811689,0.16822349,0.09581905,0.14463316,0.1460341,0.12895426,before,0,0.0
Failing test when run on java8,2017-08-31 10:21:44+00:00,failing test when run on java8,2017-08-31 10:21:44+00:00,Testing & CI,0.08642915,0.078634046,0.19359314,0.2648337,0.09936689,0.088415764,0.099490516,0.08923675,before,0,0.0
Great!,2018-05-30 18:45:50+00:00,great,2018-05-30 18:45:50+00:00,Code Review & Collaboration,0.13165858,0.12289023,0.11186094,0.100723594,0.13356829,0.13725889,0.12151517,0.14052434,before,0,0.0
LGTM,2018-06-05 17:27:46+00:00,lgtm,2018-06-05 17:27:46+00:00,Refactoring & Cleanup,0.115179464,0.1394654,0.14623089,0.1065589,0.14700052,0.11577477,0.10233896,0.1274511,before,0,0.0
LGTM,2018-06-05 17:28:28+00:00,lgtm,2018-06-05 17:28:28+00:00,Refactoring & Cleanup,0.115179464,0.1394654,0.14623089,0.1065589,0.14700052,0.11577477,0.10233896,0.1274511,before,0,0.0
"LGTM and AvalonStudio still works, what was the issue this fixed?",2019-03-23 02:23:08+00:00,lgtm and avalonstudio still works what was the issue this fixed,2019-03-23 02:23:08+00:00,Bug Fixing & Debugging,0.09731731,0.10585218,0.17929007,0.12909496,0.1042225,0.114580244,0.13054468,0.13909805,before,0,0.0
Avalonia.Desktop needs to be updated too.,2019-10-01 16:24:37+00:00,avalonia desktop needs to be updated too,2019-10-01 16:24:37+00:00,Deployment,0.091643825,0.13321316,0.126258,0.0940473,0.101540565,0.14623545,0.19193986,0.11512179,before,0,0.0
"I'll change just a couple of minor things to clean up a bit, as for the code looks ok for me.",2019-11-18 21:11:45+00:00,i ll change just a couple of minor things to clean up a bit as for the code looks ok for me,2019-11-18 21:11:45+00:00,UI / UX,0.1460891,0.16270992,0.12590645,0.087855056,0.1466341,0.119897306,0.10026827,0.11063977,before,0,0.0
nice,2019-12-16 09:51:20+00:00,nice,2019-12-16 09:51:20+00:00,Feature Development,0.14074785,0.12792319,0.11363469,0.10561456,0.12893252,0.13290788,0.12158729,0.12865204,before,0,0.0
Nice one!,2021-10-19 22:53:02+00:00,nice one,2021-10-19 22:53:02+00:00,Refactoring & Cleanup,0.12806292,0.12104139,0.14107445,0.10971142,0.14255168,0.12789021,0.11075925,0.11890868,before,0,0.0
Looks good to me,2021-10-26 10:01:19+00:00,looks good to me,2021-10-26 10:01:19+00:00,UI / UX,0.114744954,0.15733638,0.13564083,0.105280824,0.15177484,0.118498966,0.096822195,0.11990098,before,0,0.0
excellent,2021-11-05 02:39:10+00:00,excellent,2021-11-05 02:39:10+00:00,Documentation & Communication,0.13301417,0.117988355,0.11160693,0.09920237,0.13678749,0.14281492,0.12115939,0.13742636,before,0,0.0
