topic_label,group,total_emojis,avg_emojis,avg_density,n_docs
Bug Fixing & Debugging,after,63,0.03467253714914695,5.177281920012341e-05,1817
Bug Fixing & Debugging,before,0,0.0,0.0,2018
Code Review & Collaboration,after,8,0.0019106759016001911,1.920637929073155e-06,4187
Code Review & Collaboration,before,0,0.0,0.0,1024
Deployment,after,48,0.017069701280227598,2.9583010252885083e-05,2812
Deployment,before,16,0.004612280196021909,5.67495019578486e-05,3469
Documentation & Communication,after,34,0.01222581805106077,3.146583756225465e-05,2781
Documentation & Communication,before,1,0.0006531678641410843,4.911036572489355e-06,1531
Feature Development,after,55,0.02196485623003195,1.9990337318910292e-05,2504
Feature Development,before,2,0.0014005602240896359,1.5252313046430694e-05,1428
Refactoring & Cleanup,after,56,0.035398230088495575,6.193579826018726e-05,1582
Refactoring & Cleanup,before,0,0.0,0.0,1819
Testing & CI,after,125,0.052720371151412905,7.57575194121878e-05,2371
Testing & CI,before,6,0.0038192234245703373,5.8069294636843903e-05,1571
UI / UX,after,9,0.004448838358872961,1.319852940918461e-05,2023
UI / UX,before,0,0.0,0.0,730
