topic_label,group,total_emojis,avg_emojis,avg_density,n_docs
Bug Fixing & Debugging,after,379,0.6391231028667791,0.00019303106652397513,593
Bug Fixing & Debugging,before,3,0.007263922518159807,2.7121876068917036e-05,413
Code Review & Collaboration,after,97,0.60625,0.00021189941853916723,160
Code Review & Collaboration,before,4,0.04597701149425287,4.183531528139479e-05,87
Deployment,after,70,0.1377952755905512,9.688716441214725e-05,508
Deployment,before,179,0.5295857988165681,0.00011280638015114883,338
Documentation & Communication,after,151,0.12678421494542402,4.2151757168691444e-05,1191
Documentation & Communication,before,42,0.2608695652173913,2.5059588652218006e-05,161
Feature Development,after,79,0.10477453580901856,6.327053634869725e-05,754
Feature Development,before,0,0.0,0.0,133
Refactoring & Cleanup,after,96,0.3516483516483517,0.00011423739529973373,273
Refactoring & Cleanup,before,0,0.0,0.0,168
Testing & CI,after,79,0.01794231205995912,1.8004942672226248e-05,4403
Testing & CI,before,11,0.03197674418604651,3.875999887817196e-05,344
UI / UX,after,67,0.05756013745704467,2.0186803751698504e-05,1164
UI / UX,before,0,0.0,0.0,102
