topic_label,group,total_emojis,avg_emojis,avg_density,n_docs
Bug Fixing & Debugging,after,2,0.07142857142857142,3.082804118626302e-05,28
Bug Fixing & Debugging,before,0,0.0,0.0,8
Code Review & Collaboration,after,1,0.03125,1.786735277301315e-05,32
Code Review & Collaboration,before,0,0.0,0.0,19
Deployment,after,0,0.0,0.0,10
Deployment,before,0,0.0,0.0,2
Documentation & Communication,after,0,0.0,0.0,9
Documentation & Communication,before,0,0.0,0.0,2
Feature Development,after,0,0.0,0.0,13
Feature Development,before,0,0.0,0.0,5
Refactoring & Cleanup,after,0,0.0,0.0,21
Refactoring & Cleanup,before,0,0.0,0.0,11
Testing & CI,after,0,0.0,0.0,21
Testing & CI,before,0,0.0,0.0,7
UI / UX,after,0,0.0,0.0,14
UI / UX,before,0,0.0,0.0,2
