category,after_agent,after_human,before,count_before,count_after_human,count_after_agent,share_before,share_after_human,share_after_agent
Deployment_Config_Build,417,29,1636,1636,29,417,8.913102696812858,4.957264957264957,8.000767459708365
Documentation,263,44,2252,2252,44,263,12.269136475074912,7.521367521367521,5.046047582501918
Error Handling,160,8,568,568,8,160,3.0945246526831927,1.3675213675213675,3.0698388334612434
Feature Development,471,123,1828,1828,123,471,9.959139199128304,21.025641025641026,9.036838066001534
Fixes,103,23,985,985,23,103,5.366385181149551,3.9316239316239314,1.9762087490406754
Implementation,261,10,1670,1670,10,261,9.098338327431218,1.7094017094017093,5.007674597083653
Merge Noise,441,5,513,513,5,441,2.7948787796240806,0.8547008547008547,8.461243284727551
Optimization,1153,6,704,704,6,1153,3.835467175156633,1.0256410256410255,22.122026093630083
Refactoring,112,8,428,428,8,112,2.3317897030781802,1.3675213675213675,2.1488871834228704
Release and Versioning,46,1,1194,1194,1,46,6.505039498774176,0.17094017094017094,0.8825786646201075
Repository Management,366,263,3337,3337,263,366,18.180332334513757,44.957264957264954,7.022256331542594
Security,58,13,318,318,13,58,1.7324979569599563,2.2222222222222223,1.1128165771297007
Testing,848,26,1133,1133,26,848,6.172704985017706,4.444444444444445,16.270145817344588
User Interface,513,26,1789,1789,26,513,9.746663034595478,4.444444444444445,9.842670759785111
