group,topic_id,count
after_agent,-1,5633
after_agent,0,52
after_agent,1,825
after_agent,2,609
after_agent,3,419
after_agent,4,24
after_agent,5,4
after_agent,6,144
after_agent,7,369
after_agent,8,179
after_agent,9,322
after_agent,10,264
after_agent,11,330
after_agent,12,55
after_agent,13,159
after_agent,14,116
after_agent,15,161
after_agent,16,104
after_agent,17,236
after_agent,18,1
after_agent,19,245
after_agent,20,3
after_agent,21,49
after_agent,22,232
after_agent,23,220
after_agent,24,203
after_agent,25,34
after_agent,26,142
after_agent,27,34
after_agent,28,210
after_agent,30,163
after_agent,32,3
after_agent,33,3
after_agent,34,173
after_agent,35,3
after_agent,37,6
after_agent,38,25
after_agent,39,95
after_agent,40,118
after_agent,41,2
after_agent,42,127
after_agent,43,33
after_agent,44,1
after_agent,45,8
after_agent,46,69
after_agent,47,115
after_agent,48,36
after_agent,49,112
after_agent,50,94
after_agent,52,1
after_agent,53,5
after_agent,54,65
after_agent,55,29
after_agent,56,3
after_agent,57,56
after_agent,58,15
after_agent,59,9
after_agent,61,93
after_agent,62,1
after_agent,63,52
after_agent,65,1
after_agent,66,15
after_agent,67,73
after_agent,68,78
after_agent,69,2
after_agent,70,8
after_agent,71,38
after_agent,72,53
after_agent,73,42
after_agent,74,3
after_agent,75,26
after_agent,76,66
after_agent,77,69
after_agent,78,67
after_agent,79,21
after_agent,80,3
after_agent,81,66
after_agent,82,62
after_agent,83,61
after_agent,84,3
after_agent,85,5
after_agent,86,4
after_agent,87,60
after_agent,89,1
after_agent,91,53
after_agent,92,56
after_agent,93,1
after_agent,94,51
after_agent,95,42
after_agent,96,22
after_agent,97,45
after_agent,98,31
after_agent,99,26
after_agent,100,1
after_human,-1,413
after_human,0,66
after_human,1,3
after_human,2,2
after_human,3,7
after_human,4,26
after_human,5,28
after_human,6,1
after_human,7,1
after_human,8,8
after_human,9,2
after_human,10,4
after_human,12,18
after_human,13,5
after_human,14,2
after_human,15,11
after_human,16,2
after_human,18,12
after_human,20,21
after_human,21,23
after_human,24,5
after_human,25,71
after_human,26,1
after_human,27,3
after_human,29,28
after_human,30,3
after_human,31,4
after_human,32,9
after_human,33,16
after_human,35,13
after_human,36,1
after_human,37,2
after_human,38,2
after_human,40,1
after_human,41,1
after_human,43,6
after_human,44,3
after_human,45,1
after_human,46,1
after_human,49,1
after_human,50,2
after_human,51,6
after_human,52,1
after_human,55,2
after_human,56,28
after_human,58,5
after_human,59,11
after_human,60,39
after_human,62,3
after_human,64,4
after_human,66,3
after_human,69,11
after_human,70,1
after_human,71,4
after_human,72,2
after_human,79,6
after_human,80,11
after_human,86,1
after_human,88,14
after_human,90,5
after_human,93,1
after_human,94,1
after_human,96,8
after_human,99,2
after_human,100,3
before,-1,6924
before,0,1202
before,1,58
before,2,25
before,3,133
before,4,499
before,5,432
before,6,297
before,7,62
before,8,209
before,9,32
before,10,79
before,11,9
before,12,243
before,13,136
before,14,175
before,15,112
before,16,167
before,17,23
before,18,239
before,19,6
before,20,225
before,21,170
before,22,3
before,23,13
before,24,23
before,25,124
before,26,79
before,27,182
before,28,6
before,29,186
before,30,28
before,31,180
before,32,168
before,33,160
before,34,4
before,35,160
before,36,172
before,37,163
before,38,127
before,39,51
before,40,21
before,41,131
before,42,2
before,43,87
before,44,120
before,45,114
before,46,52
before,47,4
before,48,82
before,49,5
before,50,20
before,51,108
before,52,107
before,53,98
before,54,38
before,55,68
before,56,68
before,57,42
before,58,78
before,59,77
before,60,57
before,61,1
before,62,86
before,63,36
before,64,82
before,65,80
before,66,62
before,67,7
before,68,1
before,69,66
before,70,66
before,71,32
before,72,19
before,73,31
before,74,67
before,75,44
before,76,3
before,78,2
before,79,40
before,80,52
before,82,2
before,83,2
before,84,59
before,85,56
before,86,56
before,88,46
before,89,59
before,90,53
before,91,4
before,93,54
before,94,3
before,95,12
before,96,23
before,97,6
before,98,20
before,99,22
before,100,46
