topic_id,top_words
0,"batch, harvest, monitor, sow, threads, allocation, scripts, milk, hosts, ram"
1,"supermarsx, renderer, settings, proxy, debug, vendor, ipv6, request, dns, pull"
2,"bararchy, cuda, precision, gpu, kernels, fp16, fp32, gemm, entropy, float32"
3,"jdereg, tests, jsnyder4, compactset, ttlcache, log4j, collection, compactmap, pull, request"
4,"iteration, next, development, prepare, plugin, maven, release, for, runners, multivalve"
5,"noperson83, schedule, location, project, asset, admin, helpdesk, calendar, template, url"
6,"docs, examples, documentation, overview, book, guide, expand, architecture, document, started"
7,"firebase, deployment, authentication, realtime, configuration, streamline, steps, initialization, step, cli"
8,"codex, master, branch, into, merge, 184hps, 0kdeoo, 8sws06, 7urvnk, 4l9ef3"
9,"map, compactmap, keys, caseinsensitivemap, deepequals, multikeymap, set, collections, key, claude"
10,"telegram, bot, makhin, chat, persons, users, subscriptions, exchange, telegramuserid, invalidation"
11,"md, readme, update, identions, agi, describtion, haven, download, repo, found"
12,"makhin, frontend, shared, chore, api, console, backend, rtk, package, regenerate"
13,"photo, makhin, photos, acl, photobank, inline, filter, photolistpage, query, upload"
14,"main, codex, branch, into, gh, merge, as5jlu, 1lzuqn, 22xgzr, 230j99"
15,"date, timezone, zoneddatetime, dateutilities, localdate, zone, iso, time, timestamp, localtime"
16,"dock, dockable, pinned, docking, docksettings, dockables, docks, global, factory, refactored"
17,"jdk, java, jvm, java9, 21, 11, sun, recover, getcpuclass, java21"
18,"triblespace, book, chapter, repository, macro, inventory, procedural, workspace, clarify, preflight"
19,"gang, equipment, member, members, ascension, crime, boss, manage, wanted, rotate"
20,"jwiedeman, migrate, pages, content, seo, continue, page, website, compliance, faq"
21,"feat, cli, nfix, concurrency, ipc, report, settings, matrix, typed, deliverability"
22,"readme, updated, ead, damn, reamde, powermock, god, regarding, further, edit"
23,"nvm, npmrc, unset, incompatible, your, setting, home, has, which, run"
24,"jsonobject, jsonreader, jsonvalue, json, jsonparser, jsonioexception, type, array, encode, moved"
25,"automation, faction, factions, reputation, focus, augmentations, buy, augments, corp, work"
26,"codesmith, mrme, icommand, commands, ohhmm, pull, request, from, merge, 104"
27,"loganrdj, resume, scroll, snap, timeline, background, wordle, toggle, zoom, hero"
28,"services, ram, memory, allocator, chunks, growable, growableallocation, memoryallocator, reserved, allocation"
29,"master, branch, man, conflicts, of, src, directobjectcreation, pointerevents, removemetrowindow, reconcole"
30,"logger, logging, log, logs, logtoolbar, exceptionhandler, secret, 466, announcer, synchronous"
31,"teamever, prettyblock, block, cover, prettyblocks, parallax, image, text, countdown, mobile"
32,"maps, google, scraper, gmaps, worker, orchestrator, scraping, mapmonkey, sitemap, progress"
33,"adrianwedd, bus, rss, insights, tasks, retry, failed, inbox, ci, guidelines"
34,"kpartlow, readercontext, instant, overrides, converter, factories, injectors, removed, asserts, zoneid"
35,"alexanderthclark, ppf, auction, curve, equilibrium, revenue, intersection, quadratic, docstrings, demand"
36,"import, imports, unused, punycode, remove, correct, qualified, meta, slash, clean"
37,"flaky, valgrind, test, fixing, failing, tests, unsafememory2test, bg, 297, give"
38,"origin, remote, tracking, branch, remotes, config2, feature, merge, upstream, ea"
39,"metricshub, v4, 00, checkstyle, parser, deps, intermediate, ast, 05, numeric"
40,"language, translations, translate, preference, languages, piotr, gorczynski, strings, flows, urdu"
41,"wieslawsoltes, dock, danwalmsley, docking, dockable, dockproperties, pinned, floating, panel, collapse"
42,"enum, enums, enumset, dynamicenummap, dynamicenumset, serializing, enumcache, enumsets, dynamicenum, closes"
43,"docs, plt, parsvars, pls, ticks, etc, more, , , "
44,"teamcity, automatic, feature, master, into, merge, from, , , "
45,"wheel, fortune, segment, pointer, angle, segments, spin, teamever, alignment, labels"
46,"go, katago, gtp, gtpclient, moves, board, kataplay, proxy, game, play"
47,"path, esm, preload, renderer, dirname, pathlib, load, paths, partials, regular"
48,"bbuchsbaum, roxygen, robust, rr, implement, sampling, hrf, ar, baseline, frame"
49,"face, identity, makhin, recognition, faces, statuses, facedto, status, editfacedialog, insightface"
50,"timer, terminal, util, bar, commands, timeout, command, timed, clocktimeout, waiting"
51,"resume, scroll, timeline, toggle, scrolling, scaling, anchor, zoom, mobile, smooth"
52,"chronicle, core, release, prepare, plugin, maven, bring, jar, 10, versions"
53,"piotr, gorczynski, secret, prod, regulations, backend, regulation, privacy, scheduled, authentication"
54,"typescript, tsconfig, ts, rewrite, collections, lib, vendored, dir, tsbuildinfo, convert"
55,"yusukepkl, de, atualiza, para, corre, es, implementa, inno, student, pyside6"
56,"readme, md, updated, info, version, changelog, bullet, userguide, 02, references"
57,"wieslawsoltes, recycling, inpc, control, pseudo, parts, refactoring, guide, diagnostics, vnext"
58,"refactoring, refactorings, pact, maintainability, readability, small, gameview, infixes, refactor, improved"
59,"pom, xml, updated, central, snapshot, problems, changelog, artifactid, organized, versions"
60,"makhin, auth, access, admin, claim, jwt, user, claims, profiles, roles"
61,"locator, store, marker, teamever, popup, map, search, mobile, cms, positioning"
62,"arran4, chezmoi, gpg, shell, template, discovery, path, caelestia, urxvt, container"
63,"exponentiation, fraction, exponentiations, multiplyifsimplifiable, multiplication, integer, multival, valuable, ismultiplicationsimplifiable, reciprocal"
64,"skrypt, problemmatic, norender, fix, fixing, cow, oob, topct, crystal, acquisition"
65,"special, stuff, stuffnthings, changes, edits, len, sh, wrong, applefications, somethings"
66,"prettyblock, prettyblocks, cover, block, column, spacing, card, blocks, toc, spacer"
67,"license, copyright, notices, licence, headers, apache, lgpl, 2025, days, licencecheck"
68,"tournaments, tournament, lobby, extended, functionality, rules, match, tournamentresultsactivity, clarity, regulation"
69,"template, templates, asset, mainpanel, documenttemplate, parts, pseudo, project, render, business"
70,"polyfit, unit, tests, school, classification, test, distancetointerface, raspberryskipfact, testdata, baseaffine"
71,"todo, flakytestrunner, bin, adam, fleet, added, optimizer, todos, skills, nuke"
72,"port, ports, allocator, reading, manager, protocol, utility, sentinel, client, clear"
73,"warnings, warning, analys, mise, greeting, related, 364, 335, suppress, refactoring"
74,"null, nullable, isempty, fields, corrected, po, included, datatable, excluded, where"
75,"javadoc, javadocs, phpdoc, scopeconfined, 390, typos, author, beefing, downgraded, daglas"
76,"homepage, carbon, pages, content, layout, page, revamp, testing, demo, sections"
77,"drag, drop, window, dragging, dragbehavior, dragpreviewhelper, tab, offset, grip, preview"
78,"exception, exceptions, unchecked, throws, catch, review, errorhandler, exceptionhandler, throw, clause"
79,"animation, sprite, ball, idle, kick, player, piotr, gorczynski, sprites, during"
80,"sentrysoftware, v3, 00, issue, v4, plus, fixed, snapshot, dollar, unary"
81,"blog, posts, jwiedeman, post, author, images, layout, article, blogpost5, pages"
82,"varargs, classutilities, rfu, claude, noreply, generated, widening, authored, co, constructor"
83,"serialization, deserialization, deserialize, serializers, serialized, serializedstrequal, serializer, collision, deserializing, serializing"
84,"animation, kick, delay, frame, idle, sprite, run, sprites, pulsing, cycles"
85,"props, base, avalonia, update, web, desktop, curvature, aot, netcore, xunit"
86,"dockmanager, cs, dockwindow, dockhelpers, docktoolchrome, dockdebugoverlayextensions, update, dockdebugoverlaymanager, dockdock, dockproperties"
87,"converter, conversions, mapconversions, convert, conversion, instance, moved, supported, db, static"
88,"enrichers, enricher, enrichment, re, applied, already, pipeline, photo, onnx, previewenricher"
89,"hostwindow, hostwindowbase, hostwindowstate, host, cs, window, hostwindows, defaulthostwindowlocator, locators, idockwindow"
90,"discover, services, discovery, subscriptions, daemon, service, launcher, subscription, discoverclient, runoptions"
91,"genericreflection, typeutilities, type, types, getreturntype, generics, typevariable, generic, polymorphic, sqlite3"
92,"dashboard, location, profile, domains, domain, leads, detail, metrics, csv, connect"
93,"avalonia, updated, avares, 11, 10, update, master, use, to, "
94,"error, errors, closedioruntimeexception, 436, impl, diagnose, dosnt, continuity, ilog2, rip"
95,"zshrc, dot, tmpl, zshenv, x86, utc, 64, 2025, zsh, smp"
96,"sidebar, highlighting, jwiedeman, highlight, docs, scroll, navigation, sidebars, styling, labels"
97,"invite, invitation, invites, invitations, waitingactivity, sender, createinvite, busy, discord, friend"
98,"cache, caching, cachemiddleware, storages, purge, async, caches, capacity, hash, cacheduniverse"
99,"factory, metautils, classfactory, newinstance, classforname, factories, accessors, methods, static, injectors"
100,"fmri, lm, fmridesign, vignette, latent, model, hrf, dataset, vignettes, rmd"
101,"slider, slide, carousel, prettyblock, brands, image, mobile, teamever, infinite, slick"
102,"gitignore, gitattributes, git, python, compat, patterns, reports, pycache, kdiff3, externalproject"
103,"dockcontrol, dockablecontrol, cs, xaml, docktoolchrome, canremovedockableconverter, owneristooldockconverter, update, controlrecycling, datacontext"
104,"fusion, sensor, wappalyzer, matcher, sensorfusion, fingerprinting, dataset, fingerprint, recon, bot"
105,"teamever, allowed, notice, ps, workflow, vendor, syntax, isbot, twillouer, unhook"
106,"whois, bulkwhois, bulk, supermarsx, reply, sw, whoiswrapper, modularize, modules, timings"
107,"fixes, fixesfixes, mods, fixups, migrator, programs, acl, few, generation, some"
108,"header, headers, depth, padding, style, head, reseting, preloaders, heads, displayheader"
109,"modal, preview, product, ajax, allowed, modals, reassurance, iframe, js, upload"
110,"aliases, alias, class, cpuclass, clearcaches, classnotfoundexception, scm, tied, converting, preservation"
111,"changelog, unreleased, entries, directing, updates, doc, document, logging, maintainer, critique"
112,"validator, validation, validators, iserror, validations, isunknown, util, validate, relax, attribute"
113,"blob, blobset, blobstore, blobs, compress, metadata, migrator, longstring, rework, schema"
114,"styles, css, colors, color, style, styling, brand, styledproperty, stylekeyoverride, crude"
115,"stattracker, statistics, stats, stat, velocity, averagevelocity, util, percentiles, listeners, worker"
116,"writeoptions, writeoptionsbuilder, writers, write, readoptionsbuilder, they, referenceable, addpermanent, writeimpl, simplification"
117,"curves, demand, supply, tutorial, market, equilibrium, horizontal, nash, curve, notebook"
118,"view, bind, forms, baseform, pump, logic, form, state, edit, introduce"
119,"rebase, branches, push, target, rebased, releases, abort, branch, protection, autostash"
120,"docker, dockerfile, arm64, compose, pipx, container, qemu, env, raspberry, foundationdb"
121,"sidebar, highlight, highlighting, accordion, sidebars, docs, active, toc, style, nav"
