topic_id,top_words
0,"avalonia, dock, at, window, in, controls, cs, tool, line, the"
1,"json, the, this, to, object, type, it, you, map, that"
2,"thank, fixed, this, closing, by, pr, peter, you, lawrey, thanks"
3,"fixed, latest, hello, this, pawelkierklo, issue, fix, on, try, hendrikmennen"
4,"20, 134, 102, bom, released, chronicle, core, in, 107, 105"
5,"valuable, implement, for, precision, logarithm, image, of, polynomial, expression, optimization"
6,"4954, 23, id, 17559, pastinviteadapter, 10, appenddata, 15, tag, 2025"
7,"user, 21893, labels, users, cleanupinactiveusers, 03, anonymous, in, functionname, executionid"
8,"14229, java, 28, soccer2, gorczynski, 22, piotr, at, android, 08"
9,"the, to, script, we, port, that, of, scripts, and, channel"
10,"mobile, language, string, name, languages, seed, rules, getstring, ids, all"
11,"test, tests, release, flaky, failing, fixed, publish, process, issue, rarely"
12,"jawk, gawk, doesn, awk, script, numeric, below, as, the, string"
13,"16, firebase, com, google, 12, 15, data, 13, java, firestore"
14,"bom, released, chronicle, core, 17, in, 19, 21, 23, 22"
15,"jdk, java, on, cq, bytes, to, with, build, wire, ve"
16,"closeable, commands, throw, to, cancel, closed, close, exceptions, closequietly, invalideventhandlerexception"
17,"bootstrap, files, copilot, vcpkg, build, branch, ci, dev, failures, instructions"
18,"we, the, chunks, script, batches, more, ram, to, batch, hacking"
19,"thread, threads, wireinternal, would, wires, as, that, some, also, is"
20,"memory, cache, byte, on, bytes, nativememoryused, offset, allocated, to, statistics"
21,"invariants, methods, the, null, code, as, is, we, an, val"
22,"animation, sprite, mobile, player, ball, 23269, hand, should, top, position"
23,"bom, released, chronicle, core, 23ea72, 23ea20, 23ea80, 23ea22, in, 23ea29"
24,"java, chronicle, openhft, cleaner, net, at, jar, reflect, datagrid, serviceloader"
25,"99, 100, worst, 50, 10, 11, 000, 56, 57, throughput"
26,"class, name, classes, the, same, factory, different, type, inner, of"
27,"bom, released, 22ea79, 22ea22, chronicle, core, 22ea29, in, 22ea73, 22ea20"
28,"20, 40, 60, bom, released, chronicle, core, in, 65, 80"
29,"22ea18, bom, released, 22ea72, 22ea71, chronicle, core, in, 22ea51, 22ea14"
30,"openhft, net, chronicle, core, cleanerservicelocator, running, 50000ns, tc, jvmsafepointtest, test"
31,"test, disabled, omnn, tests, pass, sudoku, successfully, enable, solving, enabled"
32,"reference, tracing, abstractreferencecounted, of, memory, improved, by, calls, used, referencename"
33,"20, bom, released, chronicle, 161, core, 116, 192, 122, in"
34,"bom, released, chronicle, core, 23ea27, 23ea13, 23ea69, 23ea9, 23ea5, 23ea6"
35,"issues, marked, sq, pull, request, bugs, as, reduce, 1127, 138"
