topic_id,top_words
0,"dock, drag, window, tab, docking, dockable, invalid, document, property, sample"
1,"cuda, gpu, precision, transformer, kernels, cpu, matrix, matrices, fp16, gradient"
2,"django, helpdesk, modulenotfounderror, templates, project, admin, template, dashboard, named, views"
3,"mvn, changelog, tests, found, document, not, fails, test, add, collection"
4,"namespace, xml, forms, msbuild, view, bind, default, pump, must, form"
5,"telegram, bot, shared, photobank, pnpm, filter, command, vitest, photo, photos"
6,"hrf, ar, implement, dsl, robust, installed, command, cfals, contrast, afni"
7,"ipc, session, sqlite3, created, whois, better, webdriver, bulk, mismatch, fails"
8,"vcpkg, boost, windows, cmake, msvc, opencl, devin, configuration, build, linking"
9,"workflow, github, chezmoi, inno, git, setup, quickshell, installer, gitignore, job"
10,"cubic, generated, description, wallet, jest, by, blockchain, end, transactions, transaction"
11,"href, li, code, ul, h2, deps, eslint, strong, dependabot, chore"
12,"medusa, cassandra, columns, worker, enrichment, list, recon, schema, document, readme"
13,"javadoc, jlbh, document, found, percentile, runresult, not, clarify, mvn, fails"
14,"animation, sprite, player, ball, idle, kick, position, run, animations, frames"
15,"maps, google, worker, scraper, orchestrator, gmaps, city, spiral, progress, postgres"
16,"jest, vendor, unexpected, encountered, debug, session, token, created, import, webdrivererror"
17,"blog, posts, post, layout, author, page, carbon, pages, article, search"
18,"pile, blob, branch, blobs, refresh, changelog, length, truncation, document, record"
19,"hero, copy, cta, services, homepage, traffic, foot, page, audit, restaurant"
20,"redis, commit, contains, implementation, single, message, devin, memurai, original, work"
21,"nickname, location, sdk, login, firestore, email, found, auth, logout, firebase"
22,"thread, threads, threaddump, is, we, threadlocal, blockmanager, notifier, orphan, safety"
23,"invites, invite, past, invitations, friend, 4954, 17559, invitationsactivity, button, 10"
24,"harvest, batch, sow, batches, hack, tasks, hacking, grow, percent, memory"
25,"firebase, copilot, coding, 27099, tips, 23, issue, cloud, gorczynski, piotr"
26,"shortcode, selling, shortcodes, products, cross, product, best, newsletter, carousel, viewed"
27,"photo, list, viewer, virtualphotolist, photos, filter, preview, pagination, previewurl, phototable"
28,"wheel, fortune, segment, pointer, spin, angle, php, coupon, segments, index"
29,"cover, prettyblock, block, column, image, desktop, spacing, prettyblocks, parallax, mobile"
30,"react, hero, background, scripts, skills, skill, home, homepage, image, found"
31,"settings, config, options, dataclass, reload, configuration, file, defaults, runtime, unknown"
32,"polyfit, tests, test, enable, flaky, intersection, 516, classification, intersect, gelu"
33,"toolbar, tournament, tournaments, location, sdk, ranking, screen, rankingactivity, registration, found"
34,"mobile, languages, translations, language, copilot, all, string, coding, strings, supported"
35,"sidebar, highlight, docs, active, highlighting, doc, indentation, article, scroll, accordion"
36,"inference, typed, gd, array, type, characterdata, shape, cran, godot, command"
37,"json, benchmark, nondex, jsonobject, string, serde, test, jsonparser, order, changelog"
38,"branches, branch, powershell, rebase, target, rebasing, proper, develop, git, main"
39,"awk, awktestsupport, awkparser, codex, mvn, checkstyle, task, bwk, jrttest, expectlines"
40,"rename, statistics, names, variable, variables, dendrite, swc, clarity, json, terminology"
41,"carbon, header, starlight, astro, css, components, nasa, pages, demo, page"
42,"sum, sq, performance, optimization, overhead, operations, smallvector, ll, leave, feedback"
43,"fixed, issue, warnings, generategoal, uninitialized, fixes, override, specifier, must, openlink"
44,"logarithm, exponentiation, natural, derivative, exponents, test, negative, expression, comparison, cases"
45,"logging, scripts, logger, console, script, debug, sourcefile, log, supervisor, automation"
46,"safesimpledateformat, timestamp, time, instant, timeprovider, zone, clock, conversions, timezone, wall"
47,"will, dependabot, pr, this, it, reopen, any, you, yourself, stop"
48,"doctor, analytics, table, faq, page, width, layout, astro, readability, pills"
49,"api, cors, env, server, 6001, azure, port, endpoints, fastapi, frontend"
50,"typescript, typings, ts, convert, modules, type, module, strict, awesome, errors"
51,"face, provider, recognition, insightface, identification, azure, aws, rekognition, magickmissingdelegateerrorexception, detection"
52,"person, acl, photo, filtering, photos, filter, groups, nsfw, access, query"
53,"docker, compose, nginx, minio, dockerfile, debian, frontend, url, build, restore"
54,"claims, claim, jwt, roles, auth, admin, impersonated, user, api, identity"
55,"path, directories, pathlib, directory, paths, discovery, traversal, dir, file, handling"
56,"scroll, loganrdj, react, snap, reverts, scrolling, resume, scripts, zoom, revert"
57,"plotting, plot, axis, graph, helpers, bokeh, functions, refactor, py, neuron"
58,"php, src, symfony, legacy, doctrine, everblock, controller, service, le, controllers"
59,"consent, ad, ads, sdk, location, interstitial, admob, checkbox, preference, found"
60,"memory, ram, allocation, claims, claim, chunks, manager, memorymanager, message, allocations"
61,"locator, store, map, marker, popup, search, positioning, button, list, maps"
62,"dark, mode, theme, light, toggle, nav, color, dashboard, preference, bulma"
63,"radical, sqrt, equation, test, solving, equations, complex, devin, radicals, serg"
64,"slider, carousel, slick, prettyblock, image, slide, products, brands, product, bootstrap"
65,"maven, plugin, spotbugs, dependabot, pr, org, will, it, prepare, plugins"
66,"smtp, attachment, cli, pop3, email, sending, body, auth, unreadable, smtplib"
67,"heading, headings, markdown, dashes, docs, ascii, ad, spacing, formatting, platform"
68,"java, jdk, filechannelimpl, map0, jvm, 17, filedispatcherimpl, java11, unixfiledispatcherimpl, ea"
69,"selector, commit, selectors, semantics, repository, range, workspace, chapter, workflows, conflict"
70,"ping, discovery, port, cli, socket, traceroute, sockets, network, timeouts, open"
71,"platform, ad, management, guides, analytics, user, governance, expand, runbooks, billing"
72,"maven, org, bump, plugin, apache, commons, spotbugs, href, li, td"
73,"astro, thanks, code, experimental, href, quot, patch, h3, env, li"
74,"de, testes, atualiza, para, resumo, adiciona, nova, com, notas, registra"
75,"avalonia, update, preview1, preview, bindings, selection, idk, interestingly, preview2, ea0"
76,"python, pytest, helpdesk, packaging, codex, setup, provide, sqlite, enable, pythonpath"
77,"handlebars, templates, partials, mainpanel, runtime, compiled, precompiled, precompile, vendor, template"
78,"face, faces, identity, person, pnpm, admin, editfacedialog, filter, photobank, facespage"
79,"workflow, claude, devin, yml, review, issue, github, issues, syntax, serg"
80,"pom, parent, poms, oss, third, party, central, reverts, bom, deployment"
81,"middleware, crud, odata, middlewares, linq, command, found, graphql, document, phpunit"
82,"attack, alien, health, damage, body, character, part, enemy, mech, attacks"
83,"enricher, enrichers, jimbobsquarepants, enrichment, pipeline, v3, imagemagick, dotnet, magick, dependency"
84,"newline, eof, trailing, line, endings, lint, lines, spaces, newlines, trim"
85,"cmake, coverage, valgrind, qt, catch2, helgrind, mapmaker, stylelayer, unit, tests"
86,"snyk, pull, request, severity, merge, exploit, has, li, protect, concept"
87,"enum, enumset, enums, written, enumbasiccreationtest, testenum, testemptyenumsetonjdk17, alias, deserialization, cedarsoftware"
88,"snyk, severity, electron, high, exploit, js, has, known, project, vulnerable"
89,"dns, ipv6, rdns, psl, reverse, records, cname, lookup, enum, domains"
90,"net, targeting, sdk, does, current, windowsdesktop, support, target, semaphoreslim, webviewsample"
91,"dotnet, onnx, photobank, unittests, duplicate, cs, photo, verbosity, console, fullyqualifiedname"
92,"develop, nerge, , , , , , , , "
93,"demand, equilibrium, market, auction, tutorial, supply, monopoly, curves, revenue, repr"
94,"electron, renderer, e2e, session, modules, created, remote, imports, preload, module"
95,"chronicle, javadoc, core, jacoco, thread, behaviour, functional, documentation, public, resource"
96,"fusion, sensor, wappalyzer, matcher, modulenotfounderror, sensorfusion, named, bot, dataset, confidence"
97,"resume, toggle, wordle, react, gate, career, scripts, fade, education, buttons"
98,"migrate, content, old, site, pages, page, docs, continue, frontend, compliance"
99,"hyprland, terminal, hyprshot, autostart, kde, wf, recorder, alacritty, screenshot, keybindings"
100,"guidelines, guide, instructions, md, contributing, readme, getting, started, book, expand"
101,"gang, faction, script, boss, ascension, buying, territory, augmentation, buy, members"
102,"ismodsimplifiable, integer, ismultiplicationsimplifiable, mathematical, fraction, simplifiable, constexpr, class, modulo, optimizations"
103,"slf4j, dependabot, pr, will, it, this, reopen, stop, any, yourself"
104,"openapi, regenerate, spec, orval, swashbuckle, chore, swagger, api, clients, server"
105,"modal, product, modals, ajax, everblock, lookbook, video, file, upload, php"
106,"nav, hover, react, links, scripts, navbar, right, left, slide, edge"
107,"coefficient, quadratic, normalization, ca, multiplyifsimplifiable, system, equation, computation, solve, product"
108,"date, filter, pnpm, photobank, photo, iso, vitest, fns, taken, yyyy"
109,"waybar, pager, module, style, hyprland, rofi, hyprctl, cyberpunk, script, power"
110,"book, chapter, knowledge, query, trible, tribles, chapters, changelog, incremental, engine"
111,"sprites, mech, grid, alien, offsets, scale, character, textures, sprite, left"
112,"object, means, deserializing, java, deserialization, json, objects, serialized, field, jsonobject"
113,"payoff, battle, sexes, games, game, table, prisoner, dilemma, hull, classic"
114,"pnpm, lockfile, npm, ossar, done, lint, mark, node, requestinit, workflows"
115,"00, v3, snapshot, prepare, release, v4, 01, 05, 02, v5"
116,"pi, sign, deducing, negativefractionmodulo, comparison, numbers, abs, negative, test, 1221"
117,"language, preference, sdk, location, locale, terms, selected, activities, persist, found"
118,"ordering, fraction, antisymmetry, ll, leave, devin, enables, comparison, complex, feedback"
119,"filters, filter, join, composer, dynamic, accept, command, found, builder, callbacks"
120,"dashboard, login, logout, button, nav, auth, navbar, dropdown, logged, navigation"
121,"student, plans, qt, gui, training, pdf, widgets, plan, theme, students"
122,"proxy, proxies, pysocks, socks, http, smtp, order, ping, validate, validation"
123,"roas, calculator, profit, mdx, reality, astro, chart, probable, sensitivity, worst"
124,"controllers, php, tab, form, configuration, admin, tabs, tabbed, everblock, module"
125,"users, user, invitations, deletion, cleanupinactiveusers, orphaned, labels, functionname, executionid, copilot"
126,"pricing, consulting, page, plan, booking, cta, 499, subscription, tier, unified"
127,"camelcase, formatter, rename, regex, formatting, inner, parameternamecheck, parser, license, leading"
128,"prettier, sanitization, formatting, sanitize, finaliser, format, apply, fixer, script, tidy"
129,"deprecated, deprecate, methods, deprecation, tha, hash32, mocker, jerryshea, coroutines, copymemoryeachwaybytearrayheapobject"
130,"kani, proofs, harness, verification, proof, nondeterministic, harnesses, generators, unwinding, running"
131,"glossary, terms, popover, links, remark, linking, plugin, regex, popovers, docs"
132,"ppf, slope, elastic, perfectly, curve, valueerror, slopes, demand, perfect, supply"
