Topic,Count,Name,Representation,Representative_Docs
-1,39363,-1_javadoc_improve_java_siddhi,"['javadoc', 'improve', 'java', 'siddhi', 'added', 'src', 'for', 'wire', 'to', 'and']","['fix simplify github actions workflows and resolve deployment errors fix missing psutil dependency blocking all tests standardize version tags to v0 1 0rc1 format no dash add pip caching to continuous integration yml for 30 50 speedup remove redundant workflows ci yml release pipeline yml test fix yml streamline to 2 workflows continuous integration yml publish yml optimized for scientific package with quarterly releases 85 reduction in ci runtime single job debugging vs 8 phase complexity maintainable by small academic team generated with claude code code co authored by claude noreply com', 'merge branch master into patch 1', 'merge branch master of github com openhft chronicle wire']"
0,2728,0_git_build_gitignore_ci,"['git', 'build', 'gitignore', 'ci', 'macos', 'cmake', 'repo', 'actions', 'imhex', 'clang']","['git make sure linux ci doesn t build imhex twice 689 install deb package in a different folder than appimage added comment for ubuntu cmake build fixed typos separate cmake build for deb and appimage', 'git ignore', 'git update release actions']"
1,1815,1_translation_translations_i18n_translate,"['translation', 'translations', 'i18n', 'translate', 'languages', 'language', 'json', 'lang', 'zh', 'strings']","['update translation', 'update translation', 'update translation json']"
2,1716,2_tests_test_unit_coverage,"['tests', 'test', 'unit', 'coverage', 'testing', 'failing', 'integration', 'cases', 'case', 'disable']","['fix tests', 'fix tests', 'add tests']"
3,1213,3_2022_2024_2023_2025,"['2022', '2024', '2023', '2025', '06', '07', '01', '09', '05', '03']","['update 2024 07 06', 'update 2022 01 07', 'update 2024 07 01']"
4,1182,4_readme_md_update_template,"['readme', 'md', 'update', 'template', 'codemia', 'agi', 'mainnet', 'mainet', 'codeforce', 'practicing']","['update readme md', 'update readme md', 'update readme md']"
5,1145,5_font_fini_jastrow_fonts,"['font', 'fini', 'jastrow', 'fonts', 'patcher', 'desy', 'ulf', 'why', 'glyphs', 'signed']","['generate css fix font name signed off by fini jastrow ulf fini jastrow desy de', 'font patcher whitespace changes signed off by fini jastrow ulf fini jastrow desy de', 'ci fix workflow after font file name change signed off by fini jastrow ulf fini jastrow desy de']"
6,1126,6_dist_new_dsit_fist,"['dist', 'new', 'dsit', 'fist', 'nw', 'anlaytics', 'bower', 'beta', 'scene', 'small']","['new dist', 'new dist', 'new dist']"
7,991,7_piotr_gorczynski_invite_tournament,"['piotr', 'gorczynski', 'invite', 'tournament', 'nickname', 'copilot', 'consent', 'friend', 'tournaments', 'facebook']","['merge pull request 142 from piotr gorczynski codex fix dynamic nickname update in menuactivity fix nickname label after firestore sync', 'merge pull request 189 from piotr gorczynski codex update create tournament script logic add env selection to create tournament tool', 'merge pull request 237 from piotr gorczynski codex add banner to invite friend layout add toolbar to invite friend activity']"
8,913,8_supermarsx_smx_2025_renderer,"['supermarsx', 'smx', '2025', 'renderer', 'jquery', 'codex', 'ipc', 'request', 'pull', 'module']","['merge pull request 821 from supermarsx smx remove incompatible imports from renderer 2025 08 22 fix replace renderer imports with require', 'merge pull request 811 from supermarsx smx add json format support to cli 2025 08 21 feat add json export to cli', 'merge pull request 778 from supermarsx smx fix electron renderer import map 2025 07 30 fix datatables import']"
9,865,9_feat_landing_command_receive,"['feat', 'landing', 'command', 'receive', 'page', 'storybook', 'show', 'add', 'cli', 'option']","['feat add config file support', 'feat add tests', 'feat add']"
