topic,text_type,mean_before,mean_after,delta,p_value,cohens_d,n_before,n_after,p_adj,reject_H0
Feature Development,commit_messages,0.11335039706688743,0.11835434901554016,0.005003951948652732,1.9125781595887862e-51,0.1666528053205698,13590,20077,8.743214443834451e-51,True
UI / UX,commit_messages,0.10912907803907286,0.11404408857892116,0.004915010539848302,3.0705549430661793e-47,0.15374907196338383,13590,20077,1.2282219772264717e-46,True
Bug Fixing & Debugging,commit_messages,0.1263068087968359,0.11901235556049213,-0.00729445323634377,1.0562156939187999e-97,-0.24406004698560546,13590,20077,1.6899451102700798e-96,True
Testing & CI,commit_messages,0.13087535769087566,0.126981212895851,-0.0038941447950246733,2.6297280559747947e-18,-0.09900635500646682,13590,20077,7.012608149266119e-18,True
Refactoring & Cleanup,commit_messages,0.12422894880743193,0.12196879977287442,-0.0022601490345575126,2.2066077376839915e-12,-0.08259068777915488,13590,20077,5.0436748289919805e-12,True
Documentation & Communication,commit_messages,0.132713261037454,0.13431777676714649,0.001604515729692474,3.660340588068169e-06,0.05299364529840554,13590,20077,6.507272156565634e-06,True
Deployment,commit_messages,0.14126205594724062,0.13319367705055538,-0.008068378896685241,2.7542761903224062e-95,-0.2499131421097798,13590,20077,2.9378946030105665e-94,True
Code Review & Collaboration,commit_messages,0.12213409284098602,0.13212774031518656,0.009993647474200548,0.0,0.4212968464767833,13590,20077,0.0,True
Feature Development,pr_bodies,0.11122756415349369,0.11592362579305772,0.004696061639564028,2.5464156813861247e-11,0.16959683038165813,1746,9046,5.432353453623733e-11,True
UI / UX,pr_bodies,0.10546446188487972,0.11297978709241653,0.0075153252075368104,6.46809273170351e-22,0.21444383305616482,1746,9046,1.8816269764955666e-21,True
Bug Fixing & Debugging,pr_bodies,0.1381546853172967,0.12085940122230818,-0.01729528409498851,3.403559408975726e-80,-0.6108875687971904,1746,9046,2.1782780217444648e-79,True
Testing & CI,pr_bodies,0.1429623859816724,0.16435170980875524,0.021389323827082835,3.10819484220919e-68,0.4975142107498156,1746,9046,1.6577039158449013e-67,True
Refactoring & Cleanup,pr_bodies,0.12371196055899199,0.11105686667311519,-0.012655093885876795,2.1602551933874927e-81,-0.5955990287354839,1746,9046,1.7282041547099942e-80,True
Documentation & Communication,pr_bodies,0.12468891586941581,0.13215528585496353,0.007466369985547713,8.062009153241325e-30,0.28037164649392504,1746,9046,2.8664921433746935e-29,True
Deployment,pr_bodies,0.1321440367325315,0.12621813910568205,-0.005925897626849447,4.9642572509060474e-15,-0.2556628406397399,1746,9046,1.2219710156076424e-14,True
Code Review & Collaboration,pr_bodies,0.12164598937113402,0.11645518572938315,-0.0051908036417508685,8.368880148244513e-28,-0.31794576638785466,1746,9046,2.6780416474382442e-27,True
Feature Development,issue_bodies,0.12065314973593397,0.12493621727045454,0.004283067534520568,0.011530350325011774,0.1566151331068437,1333,440,0.01677141865456258,True
UI / UX,issue_bodies,0.11084382319579895,0.11812452497727273,0.007280701781473775,5.096190742867161e-06,0.2633986651775263,1333,440,8.583058093249955e-06,True
Bug Fixing & Debugging,issue_bodies,0.1411690685843961,0.14889309397499997,0.007724025390603878,0.0006002193284683742,0.21938919220742625,1333,440,0.0009146199290946654,True
Testing & CI,issue_bodies,0.1305402487276819,0.12407603577954546,-0.006464212948136455,0.00022109224550478424,-0.19020595143512042,1333,440,0.0003537475928076548,True
Refactoring & Cleanup,issue_bodies,0.11942705462715678,0.1197169231159091,0.00028986848875232896,0.7774126323731995,0.014739266478443848,1333,440,0.8024904592239478,False
Documentation & Communication,issue_bodies,0.12756248132108028,0.12144732582500001,-0.006115155496080271,2.97685686427747e-08,-0.3019385339282096,1333,440,5.603495273934061e-08,True
Deployment,issue_bodies,0.1277963292108027,0.1201782133409091,-0.007618115869893596,7.119713634112971e-11,-0.3697745233146214,1333,440,1.4239427268225942e-10,True
Code Review & Collaboration,issue_bodies,0.12200784556264066,0.12262766666136364,0.0006198210987229807,0.4848999398455842,0.038808311665738164,1333,440,0.6206719230023477,False
Feature Development,review_comments,0.11516332655357142,0.11593795177702701,0.0007746252234555884,0.8346418678982103,0.03137256312080047,56,148,0.8346418678982103,False
UI / UX,review_comments,0.11115605557142857,0.10650331785135135,-0.004652737720077224,0.19728930878722664,-0.18095414031513818,56,148,0.27448947309527183,False
Bug Fixing & Debugging,review_comments,0.13525127198214285,0.13765972429729728,0.0024084523151544357,0.6428994939860035,0.07298801984502257,56,148,0.7094063381914522,False
Testing & CI,review_comments,0.1301879161607143,0.13415469673648647,0.003966780575772183,0.5628862321638053,0.08524332562182795,56,148,0.6671244233052507,False
Refactoring & Cleanup,review_comments,0.12223856935714286,0.12413224331081082,0.0018936739536679625,0.6241361723499266,0.07673850100126853,56,148,0.7094063381914522,False
Documentation & Communication,review_comments,0.125303559375,0.1271698988378378,0.0018663394628377905,0.5282231468014398,0.0855524365575516,56,148,0.6501207960633105,False
Deployment,review_comments,0.11832856353571429,0.11730714666216219,-0.0010214168735521029,0.7676086842121934,-0.04173056057755984,56,148,0.8024904592239478,False
Code Review & Collaboration,review_comments,0.1423707345892857,0.13713501967567568,-0.005235714913610023,0.2963531149045055,-0.1598930765682643,56,148,0.39513748653934067,False
