repo,commits_after,commits_before,commits_delta,commits_pct_change,prs_after,prs_before,prs_delta,prs_pct_change,reviews_after,reviews_before,reviews_delta,reviews_pct_change,months_before,months_after,commits_per_month_before,commits_per_month_after,commits_per_month_delta,prs_per_month_before,prs_per_month_after,prs_per_month_delta,reviews_per_month_before,reviews_per_month_after,reviews_per_month_delta
Loganrdj/portfolio,351.0,75.0,276.0,368.0,329.0,3.0,326.0,10866.666666666668,,,,,54.727731766674275,5.247717316906229,1.3704203989259838,66.88622477228455,65.51580437335856,0.054816815957039355,62.69392578370831,62.63910896775127,,,
MetricsHub/jawk,416.0,283.0,133.0,46.996466431095406,398.0,234.0,164.0,70.08547008547008,5.0,15.0,-10.0,-66.66666666666666,152.50868278956574,6.076938930717165,1.8556320520483975,68.45551761220449,66.5998855601561,1.5343388698916078,65.49350002321488,63.95916115332327,0.09835505576228255,0.822782663608227,0.7244276078459445
MrME-CodeSmith/QuoteSwift,461.0,9.0,452.0,5022.222222222222,466.0,0.0,466.0,,,,,,5.123871397064415,1.0,1.7564843655436606,461.0,459.24351563445634,0.0,466.0,466.0,,,
OpenHFT/Chronicle-Core,54.0,2466.0,-2412.0,-97.8102189781022,238.0,701.0,-463.0,-66.04850213980028,33.0,655.0,-622.0,-94.9618320610687,122.32013423073998,6.141672370522473,20.160213324719155,8.79239346259791,-11.367819862121245,5.730863560676451,38.75166007589449,33.02079651521804,5.354801187222647,5.373129338254278,0.0183281510316311
OpenHFT/JLBH,7.0,91.0,-84.0,-92.3076923076923,216.0,82.0,134.0,163.41463414634146,3.0,59.0,-56.0,-94.91525423728814,60.514583238269076,5.980027758764924,1.5037697548324538,1.1705631281962032,-0.33320662663625056,1.355045273585288,36.12023367005427,34.76518839646898,0.9749715992869755,0.5016699120840871,-0.47330168720288845
RadicalZephyr/bitburner-scripts,2373.0,747.0,1626.0,217.6706827309237,446.0,0.0,446.0,,2.0,0.0,2.0,,36.70521256369306,4.60841775039927,20.351332898665586,514.9272762423512,494.57594334368565,0.0,96.77942065069055,96.77942065069055,0.0,0.4339884334111684,0.4339884334111684
TeamEver/everblock,1305.0,110.0,1195.0,1086.3636363636363,1207.0,6.0,1201.0,20016.666666666664,3.0,0.0,3.0,,49.902807437827974,5.363740968894973,2.204284801752784,243.30033973822816,241.09605493647538,0.12023371645924277,225.02950962761793,224.9092759111587,0.0,0.5593111258350072,0.5593111258350072
Yusukepkl/I.A-Sarah,202.0,2.0,200.0,10000.0,208.0,0.0,208.0,,,,,,1.0,1.0,2.0,202.0,200.0,0.0,208.0,208.0,,,
adrianwedd/personal-intelligence-node,362.0,9.0,353.0,3922.222222222222,351.0,4.0,347.0,8675.0,1.0,0.0,1.0,,43.32984029203742,4.387481557532893,0.20770905083751026,82.50746931995191,82.2997602691144,0.09231513370556012,80.00033627431802,79.90802114061246,0.0,0.22792118596671798,0.22792118596671798
alexanderthclark/FreeRide,226.0,177.0,49.0,27.683615819209038,233.0,44.0,189.0,429.54545454545456,,,,,41.49698608259184,5.636260552133242,4.265370011395894,40.097507542383276,35.83213753098738,1.0603179689345725,41.33946574059868,40.279147771664114,,,
arran4/dotfiles,444.0,462.0,-18.0,-3.896103896103896,315.0,10.0,305.0,3050.0,,,,,44.40788348923873,5.512140086698608,10.403558190562167,80.54947679421649,70.14591860365432,0.22518524221996034,57.14658826616711,56.92140302394715,,,
bararchy/shainet,500.0,310.0,190.0,61.29032258064516,742.0,0.0,742.0,,,,,,61.17015894744848,1.0,5.06783054571302,500.0,494.93216945428696,0.0,742.0,742.0,,,
bbuchsbaum/fmrireg,437.0,448.0,-11.0,-2.455357142857143,345.0,0.0,345.0,,,,,,132.10844436839304,5.959246330519432,3.3911533978155304,73.33142074727918,69.94026734946365,0.0,57.89322690574672,57.89322690574672,,,
bozelosp/remod,224.0,54.0,170.0,314.81481481481484,231.0,2.0,229.0,11450.0,,,,,4.335892083048141,1.0,12.454184505910924,224.0,211.54581549408908,0.4612660928115157,231.0,230.5387339071885,,,
dBinet/SquirrelAttack,1.0,0.0,1.0,,283.0,0.0,283.0,,,,,,,1.0,,1.0,,,283.0,,,,
edinsoncs/suni-coin,257.0,8.0,249.0,3112.5,255.0,18.0,237.0,1316.6666666666665,,,,,32.576081451060915,1.3362894516693284,0.245578953749192,192.32360150635682,192.07802255260762,0.552552645935682,190.82691978257196,190.27436713663627,,,
jdereg/java-util,797.0,1234.0,-437.0,-35.41329011345219,478.0,169.0,309.0,182.84023668639054,1.0,3.0,-2.0,-66.66666666666666,140.12426496311505,5.9624420107993,8.806469031789934,133.67006313125677,124.86359409946684,1.2060723390376815,80.16849457558436,78.96242223654669,0.021409568148597895,0.16771651584850283,0.14630694769990493
jdereg/json-io,355.0,1800.0,-1445.0,-80.27777777777779,226.0,335.0,-109.0,-32.537313432835816,0.0,29.0,-29.0,-100.0,139.96334245950263,5.792475093162978,12.860510247680152,61.28640940019173,48.425899152511576,2.3934838516515837,39.016136688572765,36.62265283692118,0.207197109545958,0.0,-0.207197109545958
jorgesanabria/DBAL,344.0,9.0,335.0,3722.222222222222,335.0,0.0,335.0,,,,,,1.0,1.0,9.0,344.0,335.0,0.0,335.0,335.0,,,
jremillard/osmmapmaker,310.0,39.0,271.0,694.8717948717949,262.0,1.0,261.0,26100.0,,,,,7.4544691611529394,1.0101380333105179,5.231760861422371,306.8887516135189,301.65699075209653,0.1341477143954454,259.3704932991676,259.23634558477215,,,
jwiedeman/BlueFrogAnalytics,2414.0,274.0,2140.0,781.0218978102189,2295.0,25.0,2270.0,9080.0,,,,,72.50758080462393,6.176665145638451,3.77891521078754,390.82578431576553,387.046869104978,0.3447915338309799,371.55972452555176,371.2149329917208,,,
makhin/PhotoBank,2264.0,107.0,2157.0,2015.8878504672898,1845.0,1.0,1844.0,184400.0,,,,,60.19493383527264,4.774847136664386,1.7775582292824255,474.1513047853477,472.37374655606527,0.016612693731611453,386.39980447392514,386.38319178019356,,,
noperson83/WBee-appware,625.0,0.0,625.0,,609.0,0.0,609.0,,,,,,,4.14562362156818,,150.76139491977784,,,146.90190320983154,,,,
