mochilang/mochi | https://api.github.com/repos/mochilang/mochi | 8913 agent PRs | first PR: 2025-06-04
ClubBoss/Poker_Analyzer | https://api.github.com/repos/ClubBoss/Poker_Analyzer | 4436 agent PRs | first PR: 2025-06-05
dvaitam/codeforces | https://api.github.com/repos/dvaitam/codeforces | 3740 agent PRs | first PR: 2025-07-18
MontrealAI/AGI-Alpha-Agent-v0 | https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0 | 3569 agent PRs | first PR: 2025-05-17
print3git/MVP-website | https://api.github.com/repos/print3git/MVP-website | 2757 agent PRs | first PR: 2025-06-04
WSG23/yosai_intel_dashboard_fresh | https://api.github.com/repos/WSG23/yosai_intel_dashboard_fresh | 2130 agent PRs | first PR: 2025-06-28
TonPlaygramBot/TonPlaygramWebApp | https://api.github.com/repos/TonPlaygramBot/TonPlaygramWebApp | 2092 agent PRs | first PR: 2025-06-04
joeloverbeck/living-narrative-engine | https://api.github.com/repos/joeloverbeck/living-narrative-engine | 2012 agent PRs | first PR: 2025-06-03
Ladvien/entity | https://api.github.com/repos/Ladvien/entity | 1872 agent PRs | first PR: 2025-06-28
MSAlpaka/EquEdEU | https://api.github.com/repos/MSAlpaka/EquEdEU | 1795 agent PRs | first PR: 2025-06-11
KristopherKubicki/glimpser | https://api.github.com/repos/KristopherKubicki/glimpser | 1775 agent PRs | first PR: 2025-05-17
Deathsgift66/Thronestead | https://api.github.com/repos/Deathsgift66/Thronestead | 1597 agent PRs | first PR: 2025-06-06
sxfoster/auto-battler | https://api.github.com/repos/sxfoster/auto-battler | 1418 agent PRs | first PR: 2025-06-03
alfe-ai/alfe-ai | https://api.github.com/repos/alfe-ai/alfe-ai | 1348 agent PRs | first PR: 2025-05-22
TonyDeRosia/evennia-minimud | https://api.github.com/repos/TonyDeRosia/evennia-minimud | 1316 agent PRs | first PR: 2025-06-04
arran4/goa4web | https://api.github.com/repos/arran4/goa4web | 1310 agent PRs | first PR: 2025-06-09
ianwagner/campfire | https://api.github.com/repos/ianwagner/campfire | 1247 agent PRs | first PR: 2025-05-20
benhook1013/FireMUD | https://api.github.com/repos/benhook1013/FireMUD | 1218 agent PRs | first PR: 2025-06-05
Charelk2/booking-app | https://api.github.com/repos/Charelk2/booking-app | 1186 agent PRs | first PR: 2025-06-03
SepDynamics/sep | https://api.github.com/repos/SepDynamics/sep | 1184 agent PRs | first PR: 2025-06-22
Philopt/coffee-girl | https://api.github.com/repos/Philopt/coffee-girl | 1155 agent PRs | first PR: 2025-06-11
splanck/vc | https://api.github.com/repos/splanck/vc | 1124 agent PRs | first PR: 2025-06-23
osmond/lisa | https://api.github.com/repos/osmond/lisa | 1066 agent PRs | first PR: 2025-07-12
bastelix/sommerfest-quiz | https://api.github.com/repos/bastelix/sommerfest-quiz | 1043 agent PRs | first PR: 2025-06-05
VimsRocz/IMU | https://api.github.com/repos/VimsRocz/IMU | 1033 agent PRs | first PR: 2025-06-13
BP-H/superNova_2177 | https://api.github.com/repos/BP-H/superNova_2177 | 1016 agent PRs | first PR: 2025-07-26
AMaestroG/condadodecastilla.com | https://api.github.com/repos/AMaestroG/condadodecastilla.com | 1004 agent PRs | first PR: 2025-06-06
drivly/ai | https://api.github.com/repos/drivly/ai | 993 agent PRs | first PR: 2025-03-27
aifedespaix/shlagemon | https://api.github.com/repos/aifedespaix/shlagemon | 989 agent PRs | first PR: 2025-06-18
coldworld22/Skillbridge | https://api.github.com/repos/coldworld22/Skillbridge | 989 agent PRs | first PR: 2025-06-04
wboxxx/player | https://api.github.com/repos/wboxxx/player | 985 agent PRs | first PR: 2025-06-04
fraven01/NOESIS | https://api.github.com/repos/fraven01/NOESIS | 976 agent PRs | first PR: 2025-06-04
TugrulKaraaslan/finansal-analiz-sistemi | https://api.github.com/repos/TugrulKaraaslan/finansal-analiz-sistemi | 972 agent PRs | first PR: 2025-06-04
chainbound/taikoscope | https://api.github.com/repos/chainbound/taikoscope | 953 agent PRs | first PR: 2025-05-20
CyanAutomation/judokon | https://api.github.com/repos/CyanAutomation/judokon | 947 agent PRs | first PR: 2025-06-04
