codecrafters-io/build-your-own-x | https://github.com/codecrafters-io/build-your-own-x | 0 agent PRs | first agent PR: N/A | repo creation: 2018-05-09 | before_commits >= 50 | after_commits >= 25
kamranahmedse/developer-roadmap | https://github.com/kamranahmedse/developer-roadmap | 0 agent PRs | first agent PR: N/A | repo creation: 2017-03-15 | before_commits >= 50 | after_commits >= 25
vinta/awesome-python | https://github.com/vinta/awesome-python | 0 agent PRs | first agent PR: N/A | repo creation: 2014-06-27 | before_commits >= 50 | after_commits >= 25
awesome-selfhosted/awesome-selfhosted | https://github.com/awesome-selfhosted/awesome-selfhosted | 0 agent PRs | first agent PR: N/A | repo creation: 2015-06-01 | before_commits >= 50 | after_commits >= 25
github/gitignore | https://github.com/github/gitignore | 0 agent PRs | first agent PR: N/A | repo creation: 2010-11-08 | before_commits >= 50 | after_commits >= 25
massgravel/Microsoft-Activation-Scripts | https://github.com/massgravel/Microsoft-Activation-Scripts | 0 agent PRs | first agent PR: N/A | repo creation: 2020-01-12 | before_commits >= 50 | after_commits >= 25
avelino/awesome-go | https://github.com/avelino/awesome-go | 0 agent PRs | first agent PR: N/A | repo creation: 2014-07-06 | before_commits >= 50 | after_commits >= 25
Snailclimb/JavaGuide | https://github.com/Snailclimb/JavaGuide | 0 agent PRs | first agent PR: N/A | repo creation: 2018-05-07 | before_commits >= 50 | after_commits >= 25
ytdl-org/youtube-dl | https://github.com/ytdl-org/youtube-dl | 0 agent PRs | first agent PR: N/A | repo creation: 2010-10-31 | before_commits >= 50 | after_commits >= 25
Chalarangelo/30-seconds-of-code | https://github.com/Chalarangelo/30-seconds-of-code | 0 agent PRs | first agent PR: N/A | repo creation: 2017-11-29 | before_commits >= 50 | after_commits >= 25
facebook/react-native | https://github.com/facebook/react-native | 0 agent PRs | first agent PR: N/A | repo creation: 2015-01-09 | before_commits >= 50 | after_commits >= 25
krahets/hello-algo | https://github.com/krahets/hello-algo | 0 agent PRs | first agent PR: N/A | repo creation: 2022-11-04 | before_commits >= 50 | after_commits >= 25
ripienaar/free-for-dev | https://github.com/ripienaar/free-for-dev | 0 agent PRs | first agent PR: N/A | repo creation: 2015-03-18 | before_commits >= 50 | after_commits >= 25
iptv-org/iptv | https://github.com/iptv-org/iptv | 0 agent PRs | first agent PR: N/A | repo creation: 2018-11-14 | before_commits >= 50 | after_commits >= 25
tauri-apps/tauri | https://github.com/tauri-apps/tauri | 0 agent PRs | first agent PR: N/A | repo creation: 2019-07-13 | before_commits >= 50 | after_commits >= 25
jaywcjlove/awesome-mac | https://github.com/jaywcjlove/awesome-mac | 0 agent PRs | first agent PR: N/A | repo creation: 2016-07-17 | before_commits >= 50 | after_commits >= 25
Anduin2017/HowToCook | https://github.com/Anduin2017/HowToCook | 0 agent PRs | first agent PR: N/A | repo creation: 2020-02-29 | before_commits >= 50 | after_commits >= 25
