codecrafters-io/build-your-own-x | https://api.github.com/repos/codecrafters-io/build-your-own-x | 0 agent PRs | first agent PR: 2025-06-02
kamranahmedse/developer-roadmap | https://api.github.com/repos/kamranahmedse/developer-roadmap | 0 agent PRs | first agent PR: 2025-06-02
vinta/awesome-python | https://api.github.com/repos/vinta/awesome-python | 0 agent PRs | first agent PR: 2025-06-02
awesome-selfhosted/awesome-selfhosted | https://api.github.com/repos/awesome-selfhosted/awesome-selfhosted | 0 agent PRs | first agent PR: 2025-06-02
github/gitignore | https://api.github.com/repos/github/gitignore | 0 agent PRs | first agent PR: 2025-06-02
massgravel/Microsoft-Activation-Scripts | https://api.github.com/repos/massgravel/Microsoft-Activation-Scripts | 0 agent PRs | first agent PR: 2025-06-02
avelino/awesome-go | https://api.github.com/repos/avelino/awesome-go | 0 agent PRs | first agent PR: 2025-06-02
Snailclimb/JavaGuide | https://api.github.com/repos/Snailclimb/JavaGuide | 0 agent PRs | first agent PR: 2025-06-02
ytdl-org/youtube-dl | https://api.github.com/repos/ytdl-org/youtube-dl | 0 agent PRs | first agent PR: 2025-06-02
Chalarangelo/30-seconds-of-code | https://api.github.com/repos/Chalarangelo/30-seconds-of-code | 0 agent PRs | first agent PR: 2025-06-02
facebook/react-native | https://api.github.com/repos/facebook/react-native | 0 agent PRs | first agent PR: 2025-06-02
krahets/hello-algo | https://api.github.com/repos/krahets/hello-algo | 0 agent PRs | first agent PR: 2025-06-02
ripienaar/free-for-dev | https://api.github.com/repos/ripienaar/free-for-dev | 0 agent PRs | first agent PR: 2025-06-02
iptv-org/iptv | https://api.github.com/repos/iptv-org/iptv | 0 agent PRs | first agent PR: 2025-06-02
tauri-apps/tauri | https://api.github.com/repos/tauri-apps/tauri | 0 agent PRs | first agent PR: 2025-06-02
jaywcjlove/awesome-mac | https://api.github.com/repos/jaywcjlove/awesome-mac | 0 agent PRs | first agent PR: 2025-06-02
Anduin2017/HowToCook | https://api.github.com/repos/Anduin2017/HowToCook | 0 agent PRs | first agent PR: 2025-06-02
mtdvio/every-programmer-should-know | https://api.github.com/repos/mtdvio/every-programmer-should-know | 0 agent PRs | first agent PR: 2025-06-02
puppeteer/puppeteer | https://api.github.com/repos/puppeteer/puppeteer | 0 agent PRs | first agent PR: 2025-06-02
3b1b/manim | https://api.github.com/repos/3b1b/manim | 0 agent PRs | first agent PR: 2025-06-02
ruanyf/weekly | https://api.github.com/repos/ruanyf/weekly | 0 agent PRs | first agent PR: 2025-06-02
MunGell/awesome-for-beginners | https://api.github.com/repos/MunGell/awesome-for-beginners | 0 agent PRs | first agent PR: 2025-06-02
realworld-apps/realworld | https://api.github.com/repos/realworld-apps/realworld | 0 agent PRs | first agent PR: 2025-06-02
syncthing/syncthing | https://api.github.com/repos/syncthing/syncthing | 0 agent PRs | first agent PR: 2025-06-02
spring-projects/spring-boot | https://api.github.com/repos/spring-projects/spring-boot | 0 agent PRs | first agent PR: 2025-06-02
anuraghazra/github-readme-stats | https://api.github.com/repos/anuraghazra/github-readme-stats | 0 agent PRs | first agent PR: 2025-06-02
hoppscotch/hoppscotch | https://api.github.com/repos/hoppscotch/hoppscotch | 0 agent PRs | first agent PR: 2025-06-02
tensorflow/models | https://api.github.com/repos/tensorflow/models | 0 agent PRs | first agent PR: 2025-06-02
